DIGEST_TEXT,exec_count,total_time_s,avg_time_s
"SELECT `file_blob` FROM `trading_optimization` . `controller_artifacts` WHERE `artifact_type` = ? AND `link_type` = ? AND `link_id` = ? LIMIT ?, ...",1,8.6984,8.6984
"SELECT `a` . `file_blob` , `a` . `file_name` , `j` . `status` FROM `controller_artifacts` `a` JOIN `test_metrics` `m` ON `m` . `id` = ? JOIN `controller_tasks` `t` ON `t` . `id` = `m` . `controller_task_id` JOIN `controller_jobs` `j` ON `j` . `id` = `t` . `job_id` WHERE `a` . `link_type` = ? AND `a` . `artifact_type` = ? AND `a` . `link_id` = ? ORDER BY `a` . `created_at` DESC LIMIT ?",1,8.4028,8.4028
"SELECT `controller_artifacts` . `id` , `controller_artifacts` . `file_blob` FROM `controller_artifacts` , `test_metrics` WHERE `test_metrics` . `id` = `link_id` AND `artifact_type` = ? AND `link_type` = ? AND `test_metrics` . `controller_task_id` = ? LIMIT ?, ...",1,7.3301,7.3301
"SELECT `test_metrics` . `controller_task_id` , `controller_artifacts` . `id` , `controller_artifacts` . `file_blob` FROM `controller_artifacts` , `test_metrics` WHERE `test_metrics` . `id` = `link_id` AND `artifact_type` = ? AND `link_type` = ? LIMIT ?, ...",1,6.8724,6.8724
"SELECT `file_blob` , `file_name` , ( SELECT `j` . `status` FROM `controller_jobs` `j` , `controller_tasks` `t` WHERE `t` . `job_id` = `j` . `id` AND `t` . `id` = `task_id` LIMIT ? ) AS STATUS FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` = ? ORDER BY `created_at` DESC LIMIT ?",2,12.3139,6.1570
"SELECT `test_metrics` . `controller_task_id` , `controller_artifacts` . `id` , `controller_artifacts` . `file_blob` FROM `controller_artifacts` , `test_metrics` WHERE `test_metrics` . `id` = `link_id` AND `artifact_type` = ? AND `link_type` = ? AND `test_metrics` . `controller_task_id` = ? LIMIT ?, ...",1,5.8071,5.8071
"SELECT `file_blob` , `file_name` FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? LIMIT ?, ...",1,5.6548,5.6548
"SELECT `file_blob` , `file_name` FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` = ? ORDER BY `created_at` DESC LIMIT ?",11,59.7443,5.4313
"SELECT `tm` . `id` AS `test_metrics_id` , `ca` . `id` AS `controller_artifact_id` , `ca` . `file_blob` FROM `controller_artifacts` `ca` , `test_metrics` `tm` WHERE `tm` . `id` = `ca` . `link_id` AND `ca` . `artifact_type` = ? AND `ca` . `link_type` = ? AND `tm` . `controller_task_id` = ?",68,362.2179,5.3267
"SELECT `file_blob` , `file_name` FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` > ? ORDER BY `created_at` DESC LIMIT ?",1,4.7499,4.7499
"SELECT `file_blob` , `file_name` , ( SELECT `j` . `status` FROM `controller_jobs` `j` , `controller_tasks` `t` WHERE `t` . `job_id` = `j` . `id` AND `t` . `id` = `link_id` ) FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` = ? ORDER BY `created_at` DESC LIMIT ?",1,4.5519,4.5519
"SELECT `file_blob` , `file_name` , ( SELECT `j` . `status` FROM `controller_jobs` `j` , `controller_tasks` `t` WHERE `t` . `job_id` = `j` . `id` AND `t` . `id` = `task_id` ) FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` = ? ORDER BY `created_at` DESC LIMIT ?",1,4.3090,4.3090
"SELECT * FROM `trading_optimization` . `controller_artifacts` LIMIT ?, ...",4,15.4672,3.8668
"SELECT * FROM `controller_artifacts` LIMIT ?, ...",4,13.8574,3.4644
"SELECT `file_blob` , `file_name` FROM `controller_artifacts` WHERE `link_type` = ? AND `artifact_type` = ? AND `link_id` > ? LIMIT ?, ...",1,3.2399,3.2399
"SELECT `artifact_type` , `file_name` , `file_blob` FROM `controller_artifacts` WHERE `link_id` = ? AND `link_type` = ?",94,297.1237,3.1609
"SELECT `a` . * , ( SELECT COUNT ( * ) FROM `test_metrics` WHERE `instr` ( `input_set_file` , `a` . `target_name` ) ) AS `input_count` FROM ( SELECT * , SUBSTRING ( `file_name` , ? , `LENGTH` ( `file_name` ) - ? ) AS `target_name` FROM `controller_artifacts` ) `a` LIMIT ?, ...",1,2.7647,2.7647
"SELECT * FROM `controller_artifacts` WHERE `artifact_type` = ? AND `file_name` IN ( SELECT `set_file_name` FROM `test_metrics` WHERE `id` IN (...) ) LIMIT ?, ...",1,1.3155,1.3155
"SELECT `artifact_type` , `file_name` , `file_blob` , `link_id` , `link_type` FROM `controller_artifacts` LIMIT ?, ...",1,0.9574,0.9574
"SELECT `t` . `id` , `t` . `set_file_name` , `t` . `target_name` , ( SELECT COUNT ( * ) FROM `controller_artifacts` WHERE `INSTR` ( `file_name` , `t` . `target_name` ) ) AS `target_count` FROM ( SELECT `id` , `set_file_name` , SUBSTRING ( `set_file_name` , ? , `LENGTH` ( `set_file_name` ) - ? ) AS `target_name` FROM `test_metrics` ) `t` LIMIT ?, ...",1,0.4536,0.4536
