Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,0.56291,0.56358,0.56272,0.56303,2482
2024.09.09,01:00:00,0.56304,0.56538,0.56304,0.56535,2913
2024.09.09,02:00:00,0.56536,0.56546,0.56467,0.56489,1546
2024.09.09,03:00:00,0.5649,0.56529,0.56457,0.56476,1193
2024.09.09,04:00:00,0.56475,0.56532,0.5646,0.5648,1328
2024.09.09,05:00:00,0.56476,0.56476,0.56373,0.56412,1460
2024.09.09,06:00:00,0.56415,0.5645,0.56384,0.56414,2181
2024.09.09,07:00:00,0.56411,0.56476,0.56398,0.56439,2883
2024.09.09,08:00:00,0.56439,0.56453,0.56349,0.56448,2073
2024.09.09,09:00:00,0.56446,0.56485,0.56417,0.5644,1440
2024.09.09,10:00:00,0.56438,0.56476,0.56415,0.56458,1387
2024.09.09,11:00:00,0.56459,0.56546,0.56455,0.56534,1542
2024.09.09,12:00:00,0.56532,0.56545,0.56439,0.56454,2286
2024.09.09,13:00:00,0.56455,0.56525,0.56442,0.56489,3276
2024.09.09,14:00:00,0.56488,0.56559,0.56364,0.56366,4112
2024.09.09,15:00:00,0.56367,0.56491,0.56315,0.56487,3166
2024.09.09,16:00:00,0.56488,0.56579,0.56482,0.56571,2067
2024.09.09,17:00:00,0.56572,0.56592,0.56491,0.56493,1683
2024.09.09,18:00:00,0.56493,0.56526,0.56471,0.56477,1182
2024.09.09,19:00:00,0.56477,0.56531,0.5646,0.56531,1014
2024.09.09,20:00:00,0.56526,0.56573,0.5652,0.56552,647
2024.09.09,21:00:00,0.56549,0.56566,0.56398,0.56557,1044
2024.09.09,22:00:00,0.56557,0.56585,0.56549,0.56567,772
2024.09.09,23:00:00,0.56566,0.56601,0.5654,0.56548,779
2024.09.10,00:00:00,0.56549,0.56559,0.56434,0.56502,2431
2024.09.10,01:00:00,0.56501,0.56557,0.56497,0.56545,2152
2024.09.10,02:00:00,0.56544,0.56552,0.56451,0.56504,1876
2024.09.10,03:00:00,0.56505,0.56544,0.56503,0.56525,1371
2024.09.10,04:00:00,0.56524,0.56559,0.56514,0.56536,1114
2024.09.10,05:00:00,0.56533,0.56591,0.56524,0.56569,1555
2024.09.10,06:00:00,0.5657,0.5664,0.56521,0.56587,2075
2024.09.10,07:00:00,0.56587,0.56599,0.565,0.56507,2486
2024.09.10,08:00:00,0.56508,0.56525,0.56456,0.56459,1959
2024.09.10,09:00:00,0.56457,0.56528,0.56395,0.56498,2060
2024.09.10,10:00:00,0.56499,0.56542,0.56475,0.56541,1660
2024.09.10,11:00:00,0.56543,0.56579,0.56462,0.56477,2316
2024.09.10,12:00:00,0.56477,0.56506,0.56374,0.56416,2541
2024.09.10,13:00:00,0.56415,0.56459,0.56332,0.56387,3820
2024.09.10,14:00:00,0.56388,0.56388,0.56243,0.56349,5391
2024.09.10,15:00:00,0.56354,0.5638,0.56252,0.56259,3537
2024.09.10,16:00:00,0.56259,0.56336,0.562,0.56322,2706
2024.09.10,17:00:00,0.56321,0.56373,0.56307,0.56338,2036
2024.09.10,18:00:00,0.56339,0.56403,0.56339,0.56374,1555
2024.09.10,19:00:00,0.56376,0.56394,0.56346,0.56367,984
2024.09.10,20:00:00,0.56367,0.56369,0.56318,0.56321,622
2024.09.10,21:00:00,0.56315,0.56349,0.56204,0.56326,1427
2024.09.10,22:00:00,0.56326,0.5636,0.56305,0.5635,749
2024.09.10,23:00:00,0.56349,0.56365,0.56316,0.56322,780
