Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,95.033,95.266,95.01,95.152,7738
2024.09.09,01:00:00,95.153,95.614,95.134,95.602,8122
2024.09.09,02:00:00,95.603,95.629,95.372,95.452,4617
2024.09.09,03:00:00,95.452,95.558,95.303,95.376,3961
2024.09.09,04:00:00,95.378,95.565,95.346,95.444,4297
2024.09.09,05:00:00,95.443,95.456,95.177,95.291,5095
2024.09.09,06:00:00,95.291,95.413,95.207,95.36,5805
2024.09.09,07:00:00,95.363,95.51,95.363,95.475,7511
2024.09.09,08:00:00,95.476,95.476,95.298,95.417,5173
2024.09.09,09:00:00,95.415,95.602,95.386,95.559,3861
2024.09.09,10:00:00,95.56,95.624,95.505,95.558,3548
2024.09.09,11:00:00,95.559,95.705,95.55,95.614,3492
2024.09.09,12:00:00,95.607,95.655,95.256,95.269,5051
2024.09.09,13:00:00,95.268,95.327,95.021,95.112,8604
2024.09.09,14:00:00,95.112,95.266,94.943,94.949,9458
2024.09.09,15:00:00,94.95,95.237,94.913,95.21,6406
2024.09.09,16:00:00,95.21,95.332,95.162,95.297,3761
2024.09.09,17:00:00,95.297,95.338,95.11,95.122,4141
2024.09.09,18:00:00,95.121,95.206,95.072,95.092,3403
2024.09.09,19:00:00,95.091,95.188,95.062,95.188,2897
2024.09.09,20:00:00,95.186,95.361,95.173,95.317,1852
2024.09.09,21:00:00,95.219,95.347,95.219,95.333,449
2024.09.09,22:00:00,95.335,95.351,95.208,95.318,1615
2024.09.09,23:00:00,95.321,95.469,95.301,95.324,2530
2024.09.10,00:00:00,95.322,95.433,95.159,95.405,7013
2024.09.10,01:00:00,95.405,95.51,95.371,95.471,5121
2024.09.10,02:00:00,95.465,95.476,95.202,95.413,4442
2024.09.10,03:00:00,95.412,95.455,95.33,95.373,2962
2024.09.10,04:00:00,95.372,95.44,95.328,95.358,2369
2024.09.10,05:00:00,95.352,95.493,95.327,95.462,3030
2024.09.10,06:00:00,95.459,95.71,95.402,95.639,4348
2024.09.10,07:00:00,95.644,95.679,95.522,95.62,5732
2024.09.10,08:00:00,95.622,95.692,95.497,95.541,4969
2024.09.10,09:00:00,95.543,95.546,95.334,95.435,4222
2024.09.10,10:00:00,95.438,95.467,95.318,95.433,3711
2024.09.10,11:00:00,95.433,95.537,95.317,95.372,4329
2024.09.10,12:00:00,95.371,95.421,95.154,95.21,5540
2024.09.10,13:00:00,95.211,95.342,95.064,95.103,7497
2024.09.10,14:00:00,95.101,95.101,94.702,94.882,12044
2024.09.10,15:00:00,94.881,94.934,94.621,94.637,7825
