Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.08095,1.08111,1.08001,1.08028,2364
2024.09.09,01:00:00,1.08026,1.08154,1.08018,1.08143,2870
2024.09.09,02:00:00,1.08144,1.0816,1.08047,1.08072,1616
2024.09.09,03:00:00,1.08073,1.08231,1.08072,1.08227,1062
2024.09.09,04:00:00,1.08224,1.08249,1.08205,1.08222,909
2024.09.09,05:00:00,1.0822,1.08242,1.08166,1.08205,1176
2024.09.09,06:00:00,1.08205,1.08379,1.08193,1.08376,2358
2024.09.09,07:00:00,1.08376,1.08452,1.08353,1.0841,2835
2024.09.09,08:00:00,1.0841,1.08464,1.08372,1.08454,2183
2024.09.09,09:00:00,1.0845,1.08507,1.08447,1.08482,1598
2024.09.09,10:00:00,1.08481,1.08569,1.08467,1.08472,1478
2024.09.09,11:00:00,1.08474,1.08501,1.08449,1.08489,1211
2024.09.09,12:00:00,1.08491,1.08515,1.084,1.08408,2123
2024.09.09,13:00:00,1.08407,1.08431,1.0834,1.08355,3194
2024.09.09,14:00:00,1.08355,1.08481,1.0829,1.08293,3699
2024.09.09,15:00:00,1.08294,1.08365,1.08274,1.08347,3040
2024.09.09,16:00:00,1.08347,1.08372,1.08303,1.08351,1705
2024.09.09,17:00:00,1.08351,1.08356,1.08283,1.08292,2145
2024.09.09,18:00:00,1.08293,1.08384,1.0829,1.08369,2144
2024.09.09,19:00:00,1.08366,1.08439,1.08365,1.0838,1901
2024.09.09,20:00:00,1.08382,1.08425,1.08346,1.08382,699
2024.09.09,21:00:00,1.08381,1.084,1.0815,1.08374,676
2024.09.09,22:00:00,1.08376,1.08397,1.0835,1.08386,743
2024.09.09,23:00:00,1.08379,1.08421,1.08375,1.08392,895
2024.09.10,00:00:00,1.0839,1.08447,1.08313,1.08436,2155
2024.09.10,01:00:00,1.08435,1.08462,1.08392,1.08432,2115
2024.09.10,02:00:00,1.08435,1.08442,1.08378,1.08405,1505
2024.09.10,03:00:00,1.08404,1.08417,1.08364,1.08385,1042
2024.09.10,04:00:00,1.08386,1.08402,1.08356,1.08384,891
2024.09.10,05:00:00,1.08384,1.08403,1.08329,1.08346,1215
2024.09.10,06:00:00,1.08346,1.08389,1.08326,1.08336,2091
2024.09.10,07:00:00,1.08335,1.08344,1.0825,1.08258,2810
