Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,0.62226,0.62269,0.6221,0.62246,2086
2024.09.09,01:00:00,0.62247,0.62395,0.62239,0.62373,2220
2024.09.09,02:00:00,0.62373,0.62378,0.62329,0.62352,1300
2024.09.09,03:00:00,0.62352,0.62384,0.62339,0.62357,1076
2024.09.09,04:00:00,0.62359,0.62414,0.62349,0.62389,1297
2024.09.09,05:00:00,0.62388,0.62388,0.62331,0.62356,1347
2024.09.09,06:00:00,0.62357,0.62399,0.6233,0.62364,2073
2024.09.09,07:00:00,0.62363,0.62443,0.6236,0.6239,2654
2024.09.09,08:00:00,0.62389,0.62527,0.62371,0.62509,2198
2024.09.09,09:00:00,0.62508,0.62533,0.62467,0.62482,1354
2024.09.09,10:00:00,0.6248,0.62573,0.62466,0.62568,1339
2024.09.09,11:00:00,0.62569,0.62631,0.6255,0.62616,1283
2024.09.09,12:00:00,0.62615,0.62636,0.62508,0.62553,2357
2024.09.09,13:00:00,0.62555,0.62571,0.62463,0.6249,2821
2024.09.09,14:00:00,0.62488,0.62545,0.62461,0.62475,4148
2024.09.09,15:00:00,0.62475,0.62536,0.62421,0.62531,3800
2024.09.09,16:00:00,0.62532,0.62609,0.62523,0.62602,3109
2024.09.09,17:00:00,0.62603,0.62613,0.62549,0.62558,1398
2024.09.09,18:00:00,0.62558,0.62579,0.6254,0.62553,921
2024.09.09,19:00:00,0.62552,0.62599,0.6254,0.62596,997
2024.09.09,20:00:00,0.62597,0.62639,0.62589,0.62621,1570
2024.09.09,21:00:00,0.62623,0.62643,0.62492,0.62635,464
2024.09.09,22:00:00,0.62635,0.62635,0.62601,0.62601,681
2024.09.09,23:00:00,0.62602,0.62646,0.62601,0.62622,591
2024.09.10,00:00:00,0.62623,0.62632,0.62562,0.62619,1649
2024.09.10,01:00:00,0.62618,0.62649,0.62603,0.62615,1276
2024.09.10,02:00:00,0.62613,0.62616,0.62562,0.62589,1005
2024.09.10,03:00:00,0.6259,0.62596,0.62563,0.62584,1075
2024.09.10,04:00:00,0.62584,0.62585,0.62538,0.62539,619
2024.09.10,05:00:00,0.62538,0.62556,0.62513,0.62534,1500
2024.09.10,06:00:00,0.62534,0.62591,0.62512,0.62552,1482
2024.09.10,07:00:00,0.62553,0.62572,0.62517,0.62536,2026
2024.09.10,08:00:00,0.62537,0.62556,0.62474,0.62481,2159
2024.09.10,09:00:00,0.6248,0.62488,0.62425,0.62466,1863
2024.09.10,10:00:00,0.62466,0.62508,0.62443,0.62462,1548
2024.09.10,11:00:00,0.62463,0.62482,0.62428,0.62444,1332
2024.09.10,12:00:00,0.62444,0.62461,0.62312,0.62373,2563
2024.09.10,13:00:00,0.6237,0.62429,0.62324,0.62387,4370
2024.09.10,14:00:00,0.62386,0.62386,0.62194,0.62307,5314
2024.09.10,15:00:00,0.62308,0.62317,0.62161,0.62162,3364
2024.09.10,16:00:00,0.62166,0.62237,0.62133,0.62227,2820
2024.09.10,17:00:00,0.62227,0.62261,0.62193,0.62214,1721
2024.09.10,18:00:00,0.62215,0.62244,0.62183,0.62232,1133
2024.09.10,19:00:00,0.62231,0.6225,0.62224,0.62242,1270
2024.09.10,20:00:00,0.62242,0.62245,0.62205,0.62209,1178
2024.09.10,21:00:00,0.62207,0.62223,0.6215,0.62198,712
2024.09.10,22:00:00,0.6219,0.62231,0.62187,0.6222,563
2024.09.10,23:00:00,0.62219,0.62235,0.62196,0.62201,668
2024.09.11,00:00:00,0.62202,0.62208,0.62157,0.62176,1540
