Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,105.05,105.251,105.033,105.192,7307
2024.09.09,01:00:00,105.193,105.487,105.16,105.469,6864
2024.09.09,02:00:00,105.471,105.484,105.274,105.352,4150
2024.09.09,03:00:00,105.354,105.451,105.215,105.306,3864
2024.09.09,04:00:00,105.307,105.529,105.282,105.424,4240
2024.09.09,05:00:00,105.423,105.482,105.235,105.33,5121
2024.09.09,06:00:00,105.33,105.456,105.266,105.411,5484
2024.09.09,07:00:00,105.415,105.625,105.415,105.542,7095
2024.09.09,08:00:00,105.541,105.714,105.501,105.661,5073
2024.09.09,09:00:00,105.657,105.852,105.603,105.786,3988
2024.09.09,10:00:00,105.786,105.962,105.77,105.898,3500
2024.09.09,11:00:00,105.898,106.04,105.851,105.899,3712
2024.09.09,12:00:00,105.89,105.964,105.493,105.562,5458
2024.09.09,13:00:00,105.559,105.561,105.128,105.217,8503
2024.09.09,14:00:00,105.216,105.364,105.133,105.235,9119
2024.09.09,15:00:00,105.236,105.416,105.205,105.395,6430
2024.09.09,16:00:00,105.393,105.5,105.343,105.455,4058
2024.09.09,17:00:00,105.455,105.481,105.308,105.331,4629
2024.09.09,18:00:00,105.334,105.407,105.286,105.318,3477
2024.09.09,19:00:00,105.318,105.405,105.294,105.399,3057
2024.09.09,20:00:00,105.397,105.613,105.394,105.545,1773
2024.09.09,21:00:00,105.544,105.588,105.502,105.569,276
2024.09.09,22:00:00,105.568,105.585,105.367,105.49,1371
2024.09.09,23:00:00,105.499,105.675,105.493,105.556,2305
2024.09.10,00:00:00,105.557,105.739,105.487,105.728,5990
2024.09.10,01:00:00,105.73,105.805,105.676,105.716,3911
2024.09.10,02:00:00,105.708,105.711,105.5,105.685,3625
2024.09.10,03:00:00,105.685,105.707,105.542,105.592,2501
2024.09.10,04:00:00,105.591,105.612,105.457,105.479,1783
2024.09.10,05:00:00,105.48,105.558,105.423,105.525,2564
2024.09.10,06:00:00,105.524,105.755,105.491,105.721,3711
2024.09.10,07:00:00,105.726,105.84,105.644,105.821,5159
2024.09.10,08:00:00,105.827,105.897,105.679,105.729,4846
2024.09.10,09:00:00,105.733,105.734,105.504,105.509,3906
2024.09.10,10:00:00,105.511,105.553,105.353,105.428,3604
2024.09.10,11:00:00,105.429,105.529,105.365,105.443,4218
2024.09.10,12:00:00,105.444,105.489,105.176,105.259,5688
2024.09.10,13:00:00,105.26,105.419,105.155,105.216,7226
2024.09.10,14:00:00,105.214,105.218,104.712,104.906,11880
2024.09.10,15:00:00,104.907,104.923,104.551,104.567,7725
2024.09.10,16:00:00,104.566,104.728,104.485,104.695,4445
2024.09.10,17:00:00,104.693,104.783,104.594,104.641,3779
2024.09.10,18:00:00,104.644,104.695,104.491,104.632,3525
2024.09.10,19:00:00,104.632,104.679,104.606,104.627,2321
2024.09.10,20:00:00,104.627,104.708,104.597,104.609,2588
2024.09.10,21:00:00,104.607,104.628,104.5,104.624,386
2024.09.10,22:00:00,104.623,104.674,104.583,104.652,797
2024.09.10,23:00:00,104.649,104.678,104.485,104.5,1905
2024.09.11,00:00:00,104.501,104.517,104.317,104.513,5805
2024.09.11,01:00:00,104.516,104.599,103.997,104.253,8148
2024.09.11,02:00:00,104.253,104.31,104.071,104.241,5630
2024.09.11,03:00:00,104.241,104.316,103.837,103.924,5504
2024.09.11,04:00:00,103.924,103.925,103.556,103.738,6391
2024.09.11,05:00:00,103.735,103.914,103.492,103.907,6519
2024.09.11,06:00:00,103.909,104.055,103.795,104.003,5333
2024.09.11,07:00:00,104.004,104.142,103.863,104.012,7691
2024.09.11,08:00:00,104.011,104.262,103.961,104.178,5999
2024.09.11,09:00:00,104.181,104.194,103.972,104.191,4762
2024.09.11,10:00:00,104.191,104.294,104.159,104.257,4285
2024.09.11,11:00:00,104.258,104.438,104.22,104.366,4497
2024.09.11,12:00:00,104.366,104.801,104.268,104.655,14363
2024.09.11,13:00:00,104.653,104.845,104.181,104.199,13764
2024.09.11,14:00:00,104.197,104.255,103.698,103.908,17436
2024.09.11,15:00:00,103.91,104.303,103.878,104.248,10573
2024.09.11,16:00:00,104.248,104.551,104.239,104.494,9086
2024.09.11,17:00:00,104.496,104.86,104.471,104.745,8240
2024.09.11,18:00:00,104.744,104.838,104.646,104.739,5272
2024.09.11,19:00:00,104.738,104.958,104.735,104.927,4903
2024.09.11,20:00:00,104.927,105.003,104.837,104.837,3347
2024.09.11,21:00:00,104.837,104.84,104.698,104.803,459
2024.09.11,22:00:00,104.799,104.975,104.779,104.946,1045
2024.09.11,23:00:00,104.942,105.093,104.933,105.055,2219
2024.09.12,00:00:00,105.057,105.301,105.033,105.082,5835
2024.09.12,01:00:00,105.082,105.097,104.725,104.972,7483
2024.09.12,02:00:00,104.966,105.015,104.833,104.943,4154
2024.09.12,03:00:00,104.941,105.063,104.832,105.062,2554
2024.09.12,04:00:00,105.06,105.259,105.049,105.221,2324
2024.09.12,05:00:00,105.22,105.337,105.112,105.28,3985
2024.09.12,06:00:00,105.279,105.281,105.03,105.067,5269
2024.09.12,07:00:00,105.067,105.43,105.049,105.178,6477
2024.09.12,08:00:00,105.176,105.176,104.987,105.023,7179
2024.09.12,09:00:00,105.026,105.174,104.979,105.144,4191
2024.09.12,10:00:00,105.142,105.214,105.055,105.085,3291
2024.09.12,11:00:00,105.084,105.098,104.853,104.96,4056
2024.09.12,12:00:00,104.954,104.988,104.546,104.602,13602
2024.09.12,13:00:00,104.601,104.773,104.375,104.443,13753
2024.09.12,14:00:00,104.443,104.923,104.399,104.808,11635
2024.09.12,15:00:00,104.806,104.864,104.591,104.634,9041
2024.09.12,16:00:00,104.629,104.929,104.617,104.867,6473
2024.09.12,17:00:00,104.867,104.908,104.693,104.724,7664
2024.09.12,18:00:00,104.723,104.766,104.393,104.524,7571
2024.09.12,19:00:00,104.526,104.574,104.389,104.506,7436
2024.09.12,20:00:00,104.505,104.533,104.389,104.406,6048
2024.09.12,21:00:00,104.379,104.419,104.303,104.419,548
2024.09.12,22:00:00,104.418,104.466,104.324,104.449,1193
2024.09.12,23:00:00,104.443,104.452,104.17,104.246,2780
2024.09.13,00:00:00,104.247,104.284,104.028,104.078,6591
2024.09.13,01:00:00,104.077,104.104,103.926,104.05,6267
2024.09.13,02:00:00,104.052,104.082,103.716,103.897,5204
2024.09.13,03:00:00,103.896,103.959,103.77,103.882,3376
2024.09.13,04:00:00,103.884,103.888,103.62,103.829,3007
2024.09.13,05:00:00,103.827,103.986,103.648,103.72,3454
2024.09.13,06:00:00,103.724,103.963,103.695,103.911,6121
2024.09.13,07:00:00,103.91,104.128,103.763,103.826,6538
2024.09.13,08:00:00,103.825,103.865,103.437,103.64,7863
2024.09.13,09:00:00,103.635,103.682,103.454,103.564,6577
2024.09.13,10:00:00,103.562,103.62,103.391,103.598,5003
2024.09.13,11:00:00,103.598,103.727,103.487,103.636,4430
2024.09.13,12:00:00,103.635,103.745,103.578,103.655,6983
2024.09.13,13:00:00,103.655,103.66,103.366,103.42,9696
2024.09.13,14:00:00,103.42,103.707,103.349,103.576,11645
2024.09.13,15:00:00,103.577,103.595,103.349,103.577,5539
2024.09.13,16:00:00,103.577,103.697,103.485,103.596,5121
2024.09.13,17:00:00,103.597,103.697,103.568,103.647,3302
2024.09.13,18:00:00,103.648,103.719,103.589,103.665,3037
2024.09.13,19:00:00,103.665,103.712,103.638,103.699,2826
2024.09.13,20:00:00,103.698,103.728,103.618,103.66,2779
2024.09.15,21:00:00,103.408,103.619,103.347,103.522,507
2024.09.15,22:00:00,103.503,103.611,103.355,103.59,2484
2024.09.15,23:00:00,103.585,103.745,103.583,103.723,2066
2024.09.16,00:00:00,103.724,103.728,103.423,103.509,4215
2024.09.16,01:00:00,103.506,103.536,103.422,103.503,2960
2024.09.16,02:00:00,103.502,103.518,103.447,103.517,2457
2024.09.16,03:00:00,103.513,103.526,103.204,103.273,3495
2024.09.16,04:00:00,103.272,103.385,103.144,103.319,3857
2024.09.16,05:00:00,103.316,103.353,103.188,103.282,2502
2024.09.16,06:00:00,103.283,103.289,102.896,103.015,5551
2024.09.16,07:00:00,103.018,103.082,102.81,103.011,6931
2024.09.16,08:00:00,103.008,103.067,102.916,103.02,5322
2024.09.16,09:00:00,103.019,103.298,103.01,103.244,4393
2024.09.16,10:00:00,103.246,103.272,103.129,103.214,3887
2024.09.16,11:00:00,103.211,103.227,103.02,103.025,3999
2024.09.16,12:00:00,103.023,103.372,102.89,103.214,9201
2024.09.16,13:00:00,103.209,103.424,103.191,103.36,9274
2024.09.16,14:00:00,103.361,103.531,103.227,103.32,8035
2024.09.16,15:00:00,103.319,103.589,103.287,103.537,6721
2024.09.16,16:00:00,103.536,103.562,103.412,103.441,4376
2024.09.16,17:00:00,103.44,103.532,103.415,103.501,3263
2024.09.16,18:00:00,103.499,103.558,103.44,103.521,2538
2024.09.16,19:00:00,103.52,103.64,103.518,103.561,2821
2024.09.16,20:00:00,103.559,103.57,103.459,103.464,2250
2024.09.16,21:00:00,103.466,103.491,103.431,103.489,255
2024.09.16,22:00:00,103.489,103.688,103.478,103.688,1004
2024.09.16,23:00:00,103.684,103.936,103.601,103.624,3366
2024.09.17,00:00:00,103.618,103.665,103.369,103.477,5096
2024.09.17,01:00:00,103.477,103.477,103.265,103.349,3681
2024.09.17,02:00:00,103.35,103.436,103.257,103.425,3267
2024.09.17,03:00:00,103.424,103.486,103.339,103.425,3352
2024.09.17,04:00:00,103.427,103.527,103.405,103.473,3090
2024.09.17,05:00:00,103.473,103.561,103.376,103.498,2947
2024.09.17,06:00:00,103.498,103.565,103.422,103.56,4248
2024.09.17,07:00:00,103.561,103.583,103.299,103.497,6331
2024.09.17,08:00:00,103.494,103.559,103.381,103.482,4482
2024.09.17,09:00:00,103.481,103.538,103.436,103.534,3714
2024.09.17,10:00:00,103.532,103.541,103.428,103.478,2768
2024.09.17,11:00:00,103.477,103.522,103.412,103.51,3455
2024.09.17,12:00:00,103.511,103.689,103.306,103.611,11381
2024.09.17,13:00:00,103.61,104.137,103.599,104.079,11770
2024.09.17,14:00:00,104.081,104.431,104.052,104.277,11330
2024.09.17,15:00:00,104.275,104.305,104.148,104.256,7049
2024.09.17,16:00:00,104.259,104.423,104.185,104.232,6307
2024.09.17,17:00:00,104.23,104.427,104.22,104.365,6626
2024.09.17,18:00:00,104.367,104.431,104.31,104.322,5376
2024.09.17,19:00:00,104.323,104.669,104.31,104.592,5139
2024.09.17,20:00:00,104.591,104.763,104.566,104.712,3324
2024.09.17,21:00:00,104.701,104.71,104.656,104.68,519
2024.09.17,22:00:00,104.682,104.702,104.462,104.464,1371
2024.09.17,23:00:00,104.463,104.515,104.392,104.462,2275
2024.09.18,00:00:00,104.463,104.476,104.164,104.251,5534
2024.09.18,01:00:00,104.25,104.319,104.114,104.148,5167
2024.09.18,02:00:00,104.148,104.211,104.021,104.11,3134
2024.09.18,03:00:00,104.108,104.112,103.985,104.042,2492
2024.09.18,04:00:00,104.041,104.164,103.883,103.959,2840
2024.09.18,05:00:00,103.959,104.152,103.936,104.149,3449
2024.09.18,06:00:00,104.15,104.292,104.107,104.153,4341
2024.09.18,07:00:00,104.154,104.439,104.145,104.406,5397
2024.09.18,08:00:00,104.406,104.474,104.24,104.283,4569
2024.09.18,09:00:00,104.283,104.355,104.204,104.261,3487
2024.09.18,10:00:00,104.26,104.311,104.181,104.215,3162
2024.09.18,11:00:00,104.217,104.449,104.182,104.396,3362
2024.09.18,12:00:00,104.403,104.538,104.347,104.434,5575
2024.09.18,13:00:00,104.433,104.472,104.298,104.313,7059
2024.09.18,14:00:00,104.315,104.503,104.27,104.458,8287
2024.09.18,15:00:00,104.457,104.477,104.301,104.306,5705
2024.09.18,16:00:00,104.306,104.418,104.296,104.357,3870
2024.09.18,17:00:00,104.357,104.531,104.301,104.393,4645
2024.09.18,18:00:00,104.387,104.387,103.656,103.964,28255
2024.09.18,19:00:00,103.962,104.769,103.96,104.59,23212
2024.09.18,20:00:00,104.59,104.663,104.484,104.557,8951
2024.09.18,21:00:00,104.559,104.568,104.443,104.452,752
2024.09.18,22:00:00,104.45,104.573,104.298,104.471,2320
2024.09.18,23:00:00,104.472,104.901,104.472,104.863,5292
2024.09.19,00:00:00,104.863,105.312,104.863,105.236,11483
2024.09.19,01:00:00,105.239,105.511,105.161,105.452,9196
2024.09.19,02:00:00,105.453,105.502,105.21,105.211,7644
2024.09.19,03:00:00,105.209,105.283,105.116,105.271,6866
2024.09.19,04:00:00,105.273,105.343,105.187,105.294,5062
2024.09.19,05:00:00,105.296,105.321,104.876,104.891,5799
2024.09.19,06:00:00,104.887,105.082,104.66,104.81,7502
2024.09.19,07:00:00,104.811,105.138,104.704,105.111,9717
2024.09.19,08:00:00,105.112,105.432,105.078,105.421,7383
2024.09.19,09:00:00,105.419,105.595,105.419,105.449,6399
2024.09.19,10:00:00,105.45,105.688,105.429,105.485,6183
2024.09.19,11:00:00,105.485,105.671,105.36,105.43,7423
2024.09.19,12:00:00,105.431,105.952,105.288,105.948,12482
2024.09.19,13:00:00,105.948,105.953,105.417,105.499,13440
2024.09.19,14:00:00,105.495,105.517,105.101,105.253,13292
2024.09.19,15:00:00,105.254,105.44,105.161,105.368,7458
2024.09.19,16:00:00,105.368,105.621,105.358,105.547,5049
2024.09.19,17:00:00,105.549,105.579,105.452,105.485,4832
2024.09.19,18:00:00,105.483,105.494,105.148,105.242,5002
2024.09.19,19:00:00,105.244,105.288,105.107,105.216,4844
2024.09.19,20:00:00,105.215,105.246,105.124,105.167,4974
2024.09.19,21:00:00,105.17,105.209,105.065,105.173,458
2024.09.19,22:00:00,105.173,105.199,105.114,105.195,1579
2024.09.19,23:00:00,105.193,105.374,105.187,105.329,3177
2024.09.20,00:00:00,105.328,105.35,104.985,104.988,5846
2024.09.20,01:00:00,104.986,105.023,104.781,104.973,6298
2024.09.20,02:00:00,104.973,105.244,104.922,105.033,5036
2024.09.20,03:00:00,105.032,105.052,104.677,104.939,6366
2024.09.20,04:00:00,104.939,104.959,104.812,104.851,2810
2024.09.20,05:00:00,104.852,104.954,104.782,104.913,3073
2024.09.20,06:00:00,104.918,105.485,104.558,105.439,11278
2024.09.20,07:00:00,105.438,105.846,105.323,105.838,11319
