Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,168.801,169.033,168.786,168.97,8692
2024.09.09,01:00:00,168.971,169.118,168.914,169.078,9200
2024.09.09,02:00:00,169.076,169.09,168.835,168.943,5702
2024.09.09,03:00:00,168.945,169.026,168.756,168.853,5366
2024.09.09,04:00:00,168.855,169.062,168.817,168.958,5578
2024.09.09,05:00:00,168.961,169.089,168.757,168.897,6307
2024.09.09,06:00:00,168.898,169.035,168.737,169.008,8245
2024.09.09,07:00:00,169.018,169.207,168.92,169.139,9925
2024.09.09,08:00:00,169.141,169.224,168.98,169.012,7607
2024.09.09,09:00:00,169.013,169.36,168.913,169.291,5799
2024.09.09,10:00:00,169.292,169.413,169.213,169.231,5415
2024.09.09,11:00:00,169.229,169.352,169.057,169.108,5534
2024.09.09,12:00:00,169.099,169.164,168.696,168.733,8113
2024.09.09,13:00:00,168.727,168.727,168.286,168.353,10856
2024.09.09,14:00:00,168.355,168.53,168.26,168.432,11876
2024.09.09,15:00:00,168.431,168.637,168.412,168.526,9470
2024.09.09,16:00:00,168.53,168.536,168.418,168.428,6550
2024.09.09,17:00:00,168.428,168.472,168.317,168.352,5843
2024.09.09,18:00:00,168.352,168.44,168.318,168.346,4271
2024.09.09,19:00:00,168.346,168.403,168.321,168.358,3866
2024.09.09,20:00:00,168.356,168.575,168.35,168.541,2438
2024.09.09,21:00:00,168.228,168.558,168.228,168.463,683
2024.09.09,22:00:00,168.462,168.529,168.276,168.463,2077
2024.09.09,23:00:00,168.463,168.684,168.458,168.539,3404
2024.09.10,00:00:00,168.54,168.874,168.497,168.827,8453
2024.09.10,01:00:00,168.83,168.895,168.754,168.807,5685
2024.09.10,02:00:00,168.798,168.864,168.6,168.833,5154
2024.09.10,03:00:00,168.832,168.86,168.653,168.702,4216
2024.09.10,04:00:00,168.703,168.755,168.608,168.641,3283
2024.09.10,05:00:00,168.638,168.77,168.61,168.725,3761
2024.09.10,06:00:00,168.731,169.033,168.686,168.993,6338
2024.09.10,07:00:00,168.995,169.214,168.867,169.196,8131
2024.09.10,08:00:00,169.203,169.34,169.075,169.201,6731
2024.09.10,09:00:00,169.204,169.21,168.89,168.893,6585
2024.09.10,10:00:00,168.895,168.919,168.688,168.756,5585
2024.09.10,11:00:00,168.758,168.901,168.751,168.844,7015
2024.09.10,12:00:00,168.842,168.89,168.67,168.741,8495
2024.09.10,13:00:00,168.744,168.917,168.579,168.637,10167
2024.09.10,14:00:00,168.636,168.65,168.255,168.353,14209
2024.09.10,15:00:00,168.353,168.4,168.153,168.188,9805
2024.09.10,16:00:00,168.187,168.322,168.13,168.226,5525
2024.09.10,17:00:00,168.228,168.286,168.14,168.172,5144
2024.09.10,18:00:00,168.171,168.233,167.989,168.117,5283
2024.09.10,19:00:00,168.112,168.159,168.066,168.079,3728
2024.09.10,20:00:00,168.079,168.26,168.077,168.165,3378
2024.09.10,21:00:00,167.737,168.158,167.62,168.125,936
2024.09.10,22:00:00,168.114,168.186,168.06,168.162,1425
2024.09.10,23:00:00,168.157,168.185,167.953,167.99,2456
2024.09.11,00:00:00,167.98,168.08,167.787,168.071,7318
2024.09.11,01:00:00,168.071,168.158,167.572,167.852,8786
2024.09.11,02:00:00,167.857,167.912,167.63,167.822,6803
2024.09.11,03:00:00,167.821,167.911,167.286,167.447,7367
2024.09.11,04:00:00,167.442,167.447,167.025,167.332,7348
2024.09.11,05:00:00,167.33,167.482,167.043,167.471,7791
2024.09.11,06:00:00,167.472,167.614,167.334,167.487,6512
2024.09.11,07:00:00,167.487,167.504,167.099,167.18,10440
2024.09.11,08:00:00,167.18,167.56,167.093,167.372,8142
2024.09.11,09:00:00,167.372,167.38,167.077,167.316,6076
2024.09.11,10:00:00,167.321,167.419,167.197,167.279,6310
2024.09.11,11:00:00,167.277,167.558,167.277,167.396,7089
2024.09.11,12:00:00,167.4,167.762,166.658,167.325,17386
2024.09.11,13:00:00,167.329,167.405,167.004,167.017,16013
2024.09.11,14:00:00,167.016,167.074,166.566,166.664,19288
2024.09.11,15:00:00,166.667,166.807,166.56,166.623,12752
2024.09.11,16:00:00,166.62,166.982,166.62,166.965,11021
2024.09.11,17:00:00,166.968,167.238,166.887,167.138,10087
2024.09.11,18:00:00,167.137,167.215,167.01,167.029,6244
2024.09.11,19:00:00,167.028,167.153,167.002,167.039,6514
2024.09.11,20:00:00,167.041,167.105,166.959,167.006,5296
2024.09.11,21:00:00,166.768,167.048,166.768,166.922,684
2024.09.11,22:00:00,166.91,167.17,166.91,167.136,1637
2024.09.11,23:00:00,167.135,167.307,167.129,167.286,2727
2024.09.12,00:00:00,167.288,167.585,167.257,167.337,8007
2024.09.12,01:00:00,167.339,167.38,167.001,167.327,8354
2024.09.12,02:00:00,167.324,167.337,167.016,167.178,5488
2024.09.12,03:00:00,167.172,167.208,167.016,167.18,4424
2024.09.12,04:00:00,167.181,167.424,167.167,167.363,3498
2024.09.12,05:00:00,167.362,167.559,167.179,167.514,5464
2024.09.12,06:00:00,167.516,167.552,167.103,167.163,7038
2024.09.12,07:00:00,167.163,167.484,167.031,167.086,9928
2024.09.12,08:00:00,167.085,167.088,166.842,166.913,9965
2024.09.12,09:00:00,166.921,167.065,166.814,166.933,6429
2024.09.12,10:00:00,166.933,167.034,166.898,167.027,5497
2024.09.12,11:00:00,167.028,167.036,166.804,166.933,6716
2024.09.12,12:00:00,166.927,166.955,166.433,166.624,16207
2024.09.12,13:00:00,166.624,166.807,166.388,166.432,16284
2024.09.12,14:00:00,166.435,167.004,166.409,166.902,12554
2024.09.12,15:00:00,166.899,166.922,166.755,166.816,10462
2024.09.12,16:00:00,166.81,167.116,166.788,167.05,8240
2024.09.12,17:00:00,167.051,167.102,166.914,166.931,9111
2024.09.12,18:00:00,166.932,166.976,166.604,166.706,9606
2024.09.12,19:00:00,166.708,166.782,166.621,166.689,9828
2024.09.12,20:00:00,166.688,166.721,166.59,166.612,7796
2024.09.12,21:00:00,166.086,166.617,166.086,166.492,940
2024.09.12,22:00:00,166.514,166.663,166.478,166.646,1478
2024.09.12,23:00:00,166.646,166.65,166.426,166.52,3728
2024.09.13,00:00:00,166.522,166.565,166.174,166.206,8961
2024.09.13,01:00:00,166.205,166.269,166.081,166.225,7115
2024.09.13,02:00:00,166.228,166.261,165.874,166.086,5598
2024.09.13,03:00:00,166.086,166.18,165.883,166.018,3701
2024.09.13,04:00:00,166.018,166.021,165.707,165.924,3467
2024.09.13,05:00:00,165.919,166.107,165.747,165.845,4567
2024.09.13,06:00:00,165.846,166.233,165.796,166.199,7107
2024.09.13,07:00:00,166.198,166.462,166.069,166.133,9786
2024.09.13,08:00:00,166.132,166.168,165.677,165.879,10485
2024.09.13,09:00:00,165.875,165.918,165.629,165.82,8865
2024.09.13,10:00:00,165.819,165.907,165.638,165.868,7137
2024.09.13,11:00:00,165.87,166.354,165.837,166.25,7962
2024.09.13,12:00:00,166.248,166.441,166.194,166.417,9776
2024.09.13,13:00:00,166.423,166.473,165.904,165.977,12775
2024.09.13,14:00:00,165.964,166.211,165.865,165.916,14324
2024.09.13,15:00:00,165.917,165.946,165.574,165.899,7299
2024.09.13,16:00:00,165.902,166.158,165.86,166.075,5241
2024.09.13,17:00:00,166.073,166.163,166.025,166.127,3407
2024.09.13,18:00:00,166.127,166.221,166.082,166.173,3106
2024.09.13,19:00:00,166.174,166.25,166.114,166.127,3407
2024.09.13,20:00:00,166.125,166.126,165.831,165.85,2898
2024.09.15,21:00:00,165.715,165.975,165.662,165.779,263
2024.09.15,22:00:00,165.781,165.92,165.572,165.821,3669
2024.09.15,23:00:00,165.817,166.06,165.817,166.058,3522
2024.09.16,00:00:00,166.061,166.064,165.749,165.866,5967
2024.09.16,01:00:00,165.866,165.966,165.829,165.895,3892
2024.09.16,02:00:00,165.892,165.923,165.812,165.902,3118
2024.09.16,03:00:00,165.893,165.918,165.547,165.661,4223
2024.09.16,04:00:00,165.662,165.777,165.55,165.71,4825
2024.09.16,05:00:00,165.709,165.756,165.529,165.696,3215
2024.09.16,06:00:00,165.695,165.71,165.324,165.441,6452
2024.09.16,07:00:00,165.444,165.546,165.279,165.526,9871
2024.09.16,08:00:00,165.524,165.734,165.462,165.614,8546
2024.09.16,09:00:00,165.612,165.92,165.593,165.877,7029
2024.09.16,10:00:00,165.875,165.976,165.806,165.857,6296
2024.09.16,11:00:00,165.857,165.896,165.643,165.652,6777
2024.09.16,12:00:00,165.652,166.153,165.533,166.045,12420
2024.09.16,13:00:00,166.044,166.423,166.034,166.338,12629
2024.09.16,14:00:00,166.341,166.501,166.109,166.165,10871
2024.09.16,15:00:00,166.165,166.601,166.142,166.56,10334
2024.09.16,16:00:00,166.555,166.604,166.456,166.478,7065
2024.09.16,17:00:00,166.478,166.524,166.408,166.518,6247
2024.09.16,18:00:00,166.521,166.542,166.342,166.428,5802
2024.09.16,19:00:00,166.424,166.537,166.406,166.483,4123
2024.09.16,20:00:00,166.472,166.484,166.393,166.419,3501
2024.09.16,21:00:00,166.059,166.416,166.059,166.333,660
2024.09.16,22:00:00,166.406,166.688,166.403,166.685,1618
2024.09.16,23:00:00,166.685,167.049,166.598,166.678,3840
2024.09.17,00:00:00,166.678,166.715,166.373,166.51,5457
2024.09.17,01:00:00,166.511,166.511,166.251,166.367,4530
2024.09.17,02:00:00,166.366,166.545,166.263,166.537,3555
2024.09.17,03:00:00,166.534,166.606,166.448,166.498,3924
2024.09.17,04:00:00,166.505,166.682,166.492,166.628,4921
2024.09.17,05:00:00,166.632,166.737,166.503,166.66,4385
2024.09.17,06:00:00,166.66,166.681,166.486,166.568,5803
2024.09.17,07:00:00,166.57,166.756,166.293,166.74,8294
2024.09.17,08:00:00,166.736,166.806,166.541,166.691,6586
2024.09.17,09:00:00,166.694,166.702,166.525,166.625,5263
2024.09.17,10:00:00,166.626,166.63,166.479,166.509,3882
2024.09.17,11:00:00,166.506,166.577,166.469,166.517,5091
2024.09.17,12:00:00,166.52,166.76,166.478,166.55,13100
2024.09.17,13:00:00,166.549,167.141,166.549,167.103,13660
2024.09.17,14:00:00,167.107,167.573,167.1,167.398,12735
2024.09.17,15:00:00,167.395,167.454,167.215,167.384,9289
2024.09.17,16:00:00,167.383,167.719,167.365,167.488,7626
2024.09.17,17:00:00,167.488,167.669,167.468,167.567,7669
2024.09.17,18:00:00,167.568,167.705,167.56,167.627,6555
2024.09.17,19:00:00,167.631,168.002,167.582,167.946,4181
2024.09.17,20:00:00,167.946,168.131,167.885,168.078,4296
2024.09.17,21:00:00,167.72,168.004,167.72,167.924,1183
2024.09.17,22:00:00,167.989,168.028,167.746,167.77,1386
2024.09.17,23:00:00,167.769,167.827,167.663,167.772,3075
2024.09.18,00:00:00,167.772,167.795,167.372,167.486,6697
2024.09.18,01:00:00,167.484,167.626,167.351,167.396,6820
2024.09.18,02:00:00,167.394,167.443,167.23,167.286,5029
2024.09.18,03:00:00,167.283,167.289,167.188,167.256,3979
2024.09.18,04:00:00,167.255,167.371,167.089,167.174,4297
2024.09.18,05:00:00,167.172,167.393,167.117,167.384,5269
2024.09.18,06:00:00,167.384,167.635,167.315,167.529,6464
2024.09.18,07:00:00,167.532,168.034,167.521,168.011,8453
2024.09.18,08:00:00,168.015,168.173,167.816,167.908,6680
2024.09.18,09:00:00,167.907,168.124,167.907,168.044,6778
2024.09.18,10:00:00,168.043,168.114,167.942,167.946,4546
2024.09.18,11:00:00,167.944,168.163,167.878,168.108,4631
2024.09.18,12:00:00,168.118,168.311,167.977,168.043,6949
2024.09.18,13:00:00,168.044,168.134,167.864,167.928,8433
2024.09.18,14:00:00,167.927,167.992,167.684,167.89,10027
2024.09.18,15:00:00,167.891,167.918,167.734,167.772,7000
2024.09.18,16:00:00,167.77,167.911,167.753,167.87,5037
2024.09.18,17:00:00,167.872,168.082,167.871,168.02,4913
2024.09.18,18:00:00,167.823,167.823,167.061,167.356,26993
2024.09.18,19:00:00,167.354,168.29,167.344,168.197,22498
2024.09.18,20:00:00,168.195,168.299,168.01,168.101,11159
2024.09.18,21:00:00,167.75,168.003,167.75,167.895,1409
2024.09.18,22:00:00,167.857,168.097,167.707,168.001,3253
2024.09.18,23:00:00,167.995,168.479,167.993,168.419,6360
2024.09.19,00:00:00,168.418,168.96,168.416,168.824,12093
2024.09.19,01:00:00,168.823,169.182,168.751,169.024,9949
2024.09.19,02:00:00,169.027,169.096,168.732,168.766,8970
2024.09.19,03:00:00,168.768,168.85,168.511,168.724,8202
2024.09.19,04:00:00,168.726,168.821,168.599,168.711,6232
2024.09.19,05:00:00,168.713,168.749,168.32,168.401,7706
2024.09.19,06:00:00,168.382,168.445,168.024,168.219,10284
2024.09.19,07:00:00,168.218,168.536,168.031,168.449,12740
2024.09.19,08:00:00,168.453,168.819,168.411,168.791,11564
2024.09.19,09:00:00,168.789,168.999,168.774,168.825,8991
2024.09.19,10:00:00,168.824,169.236,168.792,168.92,7865
2024.09.19,11:00:00,168.919,169.071,168.595,168.658,10140
2024.09.19,12:00:00,168.66,169.038,168.259,169.012,15740
2024.09.19,13:00:00,169.014,169.025,168.713,168.735,16088
2024.09.19,14:00:00,168.73,168.777,168.291,168.497,15571
2024.09.19,15:00:00,168.494,168.626,168.401,168.528,8899
2024.09.19,16:00:00,168.526,168.817,168.5,168.704,7431
2024.09.19,17:00:00,168.705,168.746,168.572,168.609,6865
2024.09.19,18:00:00,168.605,168.628,168.371,168.443,6844
2024.09.19,19:00:00,168.444,168.532,168.267,168.316,6513
2024.09.19,20:00:00,168.315,168.362,168.212,168.227,7016
2024.09.19,21:00:00,168.001,168.262,167.995,168.225,774
2024.09.19,22:00:00,168.241,168.321,168.19,168.306,2009
2024.09.19,23:00:00,168.302,168.562,168.294,168.514,4110
2024.09.20,00:00:00,168.514,168.556,168.158,168.16,7188
2024.09.20,01:00:00,168.163,168.232,167.908,168.169,7644
2024.09.20,02:00:00,168.167,168.537,168.073,168.237,5395
