Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.66215,1.66256,1.66067,1.66204,5623
2024.09.09,01:00:00,1.66202,1.66202,1.65698,1.65703,6797
2024.09.09,02:00:00,1.65704,1.6583,1.65667,1.65786,3568
2024.09.09,03:00:00,1.65785,1.65858,1.65714,1.65829,2465
2024.09.09,04:00:00,1.65827,1.65904,1.65746,1.659,2404
2024.09.09,05:00:00,1.65901,1.66088,1.65901,1.65996,2817
2024.09.09,06:00:00,1.65994,1.66063,1.65853,1.6591,4807
2024.09.09,07:00:00,1.6591,1.66018,1.65812,1.65816,7150
2024.09.09,08:00:00,1.65815,1.66074,1.65812,1.65998,5578
2024.09.09,09:00:00,1.65996,1.6607,1.65873,1.66004,4445
2024.09.09,10:00:00,1.66005,1.66046,1.65961,1.65968,4030
2024.09.09,11:00:00,1.65968,1.65987,1.65794,1.65875,3995
2024.09.09,12:00:00,1.65874,1.65999,1.65842,1.65965,5029
2024.09.09,13:00:00,1.65964,1.6602,1.65817,1.65832,7348
2024.09.09,14:00:00,1.65826,1.65985,1.65538,1.65985,8673
2024.09.09,15:00:00,1.65986,1.66068,1.65725,1.65734,6818
2024.09.09,16:00:00,1.65733,1.65765,1.65633,1.65642,4139
2024.09.09,17:00:00,1.65642,1.65798,1.65596,1.65796,3815
2024.09.09,18:00:00,1.65798,1.65851,1.6572,1.6583,3820
2024.09.09,19:00:00,1.65829,1.65857,1.65754,1.65758,4202
2024.09.09,20:00:00,1.65759,1.65774,1.65605,1.65605,1476
2024.09.09,21:00:00,1.65588,1.65658,1.65552,1.65657,912
2024.09.09,22:00:00,1.65659,1.65676,1.65585,1.65614,1141
2024.09.09,23:00:00,1.65615,1.65759,1.65606,1.65748,1527
2024.09.10,00:00:00,1.6575,1.6598,1.65721,1.65865,4347
2024.09.10,01:00:00,1.65866,1.65891,1.65734,1.65762,4466
2024.09.10,02:00:00,1.65761,1.65962,1.65737,1.65829,3473
2024.09.10,03:00:00,1.65828,1.65837,1.657,1.65768,2343
