Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,0.84425,0.84429,0.84373,0.84408,1638
2024.09.09,01:00:00,0.84406,0.84407,0.84356,0.84364,3050
2024.09.09,02:00:00,0.84364,0.84382,0.84362,0.84374,1397
2024.09.09,03:00:00,0.84375,0.84382,0.84357,0.84377,1004
2024.09.09,04:00:00,0.84376,0.84418,0.84362,0.84418,1680
2024.09.09,05:00:00,0.84418,0.84441,0.84387,0.84393,2452
2024.09.09,06:00:00,0.84392,0.84452,0.84383,0.84442,3023
2024.09.09,07:00:00,0.84442,0.84468,0.84381,0.84384,4368
2024.09.09,08:00:00,0.84382,0.84444,0.84376,0.84407,3317
2024.09.09,09:00:00,0.84405,0.84468,0.84375,0.84463,2740
2024.09.09,10:00:00,0.84465,0.8447,0.844,0.84404,2393
2024.09.09,11:00:00,0.84404,0.8442,0.84352,0.84392,1981
2024.09.09,12:00:00,0.84391,0.84392,0.8435,0.84377,2782
2024.09.09,13:00:00,0.84376,0.84422,0.84328,0.84364,3339
2024.09.09,14:00:00,0.84364,0.84438,0.84329,0.84427,4108
2024.09.09,15:00:00,0.84428,0.84459,0.84384,0.84398,2716
2024.09.09,16:00:00,0.84398,0.84406,0.84354,0.84355,1916
2024.09.09,17:00:00,0.84354,0.84406,0.84347,0.84403,1756
2024.09.09,18:00:00,0.84404,0.84441,0.84397,0.84435,1317
2024.09.09,19:00:00,0.84433,0.8444,0.84413,0.84428,1539
2024.09.09,20:00:00,0.84428,0.84428,0.8439,0.8439,1217
2024.09.09,21:00:00,0.84363,0.84421,0.84359,0.8441,594
2024.09.09,22:00:00,0.84409,0.84431,0.844,0.84428,528
2024.09.09,23:00:00,0.84429,0.84439,0.84417,0.84425,356
2024.09.10,00:00:00,0.84426,0.84473,0.84422,0.8444,1337
2024.09.10,01:00:00,0.84441,0.84456,0.84426,0.84443,963
2024.09.10,02:00:00,0.84443,0.84469,0.8444,0.84448,707
2024.09.10,03:00:00,0.84449,0.84453,0.84427,0.84434,746
2024.09.10,04:00:00,0.84434,0.84436,0.84414,0.84421,544
2024.09.10,05:00:00,0.84421,0.84443,0.84408,0.84409,1240
2024.09.10,06:00:00,0.84412,0.84412,0.84282,0.84332,4304
2024.09.10,07:00:00,0.84334,0.84334,0.8425,0.84315,3366
2024.09.10,08:00:00,0.84314,0.84363,0.84292,0.84349,2329
2024.09.10,09:00:00,0.84349,0.84366,0.84263,0.84272,2313
2024.09.10,10:00:00,0.84273,0.8431,0.84262,0.84282,1795
2024.09.10,11:00:00,0.84282,0.84284,0.84247,0.84274,2007
2024.09.10,12:00:00,0.84274,0.84393,0.84258,0.84385,3410
2024.09.10,13:00:00,0.84386,0.84445,0.84377,0.84398,3862
2024.09.10,14:00:00,0.84397,0.84444,0.8438,0.8439,4154
2024.09.10,15:00:00,0.8439,0.84416,0.84358,0.84384,2588
2024.09.10,16:00:00,0.84384,0.84424,0.84362,0.84373,2152
2024.09.10,17:00:00,0.84375,0.84379,0.84316,0.84322,1419
2024.09.10,18:00:00,0.84321,0.84322,0.8427,0.84272,1219
2024.09.10,19:00:00,0.84272,0.84281,0.84254,0.84262,1312
2024.09.10,20:00:00,0.84261,0.84268,0.84229,0.84229,1452
2024.09.10,21:00:00,0.84228,0.84266,0.84192,0.84243,2012
2024.09.10,22:00:00,0.84244,0.84257,0.84229,0.84237,572
2024.09.10,23:00:00,0.84237,0.84251,0.84222,0.84249,440
2024.09.11,00:00:00,0.84249,0.84312,0.84245,0.84297,1381
2024.09.11,01:00:00,0.84298,0.84341,0.84289,0.84312,3923
2024.09.11,02:00:00,0.84312,0.84337,0.84287,0.84294,3771
2024.09.11,03:00:00,0.84296,0.84313,0.8429,0.84296,1413
2024.09.11,04:00:00,0.84297,0.84329,0.84293,0.84308,2036
2024.09.11,05:00:00,0.8431,0.8432,0.84256,0.84257,2272
2024.09.11,06:00:00,0.84258,0.84405,0.84257,0.84397,3442
2024.09.11,07:00:00,0.84399,0.84424,0.84361,0.84393,3224
2024.09.11,08:00:00,0.84392,0.84434,0.84374,0.84411,2593
2024.09.11,09:00:00,0.84411,0.84411,0.84343,0.84377,2122
2024.09.11,10:00:00,0.84377,0.84463,0.8436,0.84411,2012
2024.09.11,11:00:00,0.84411,0.84432,0.84355,0.84356,1865
2024.09.11,12:00:00,0.84355,0.8441,0.84303,0.84337,8751
2024.09.11,13:00:00,0.84338,0.84497,0.8431,0.84495,5422
2024.09.11,14:00:00,0.84497,0.84633,0.84481,0.84593,5974
2024.09.11,15:00:00,0.84592,0.84606,0.84525,0.84551,4216
2024.09.11,16:00:00,0.8455,0.84556,0.84484,0.84496,2278
2024.09.11,17:00:00,0.84498,0.84507,0.84459,0.84463,1993
2024.09.11,18:00:00,0.84463,0.84477,0.84455,0.84467,1258
2024.09.11,19:00:00,0.84467,0.84498,0.84453,0.84464,1558
2024.09.11,20:00:00,0.84462,0.84467,0.84413,0.84425,1011
2024.09.11,21:00:00,0.84424,0.84434,0.84354,0.84413,442
