Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,157.97,158.235,157.923,158.154,13188
2024.09.09,01:00:00,158.155,158.455,158.113,158.425,13295
2024.09.09,02:00:00,158.426,158.445,158.145,158.255,7968
2024.09.09,03:00:00,158.254,158.381,158.066,158.173,8936
2024.09.09,04:00:00,158.172,158.478,158.15,158.349,8178
2024.09.09,05:00:00,158.349,158.437,158.074,158.188,9689
2024.09.09,06:00:00,158.188,158.29,158.026,158.221,11983
2024.09.09,07:00:00,158.226,158.501,158.226,158.321,14240
2024.09.09,08:00:00,158.319,158.491,158.162,158.4,11205
2024.09.09,09:00:00,158.399,158.69,158.313,158.638,11084
2024.09.09,10:00:00,158.638,158.727,158.58,158.61,9055
2024.09.09,11:00:00,158.607,158.721,158.478,158.611,8789
2024.09.09,12:00:00,158.606,158.675,158.086,158.119,11676
2024.09.09,13:00:00,158.12,158.129,157.666,157.74,16876
2024.09.09,14:00:00,157.741,157.841,157.475,157.609,17328
2024.09.09,15:00:00,157.606,157.862,157.586,157.807,12261
2024.09.09,16:00:00,157.808,157.936,157.738,157.865,8424
2024.09.09,17:00:00,157.866,157.916,157.695,157.718,10179
2024.09.09,18:00:00,157.719,157.831,157.657,157.703,7681
2024.09.09,19:00:00,157.7,157.796,157.665,157.796,6272
2024.09.09,20:00:00,157.796,158.022,157.776,157.987,7128
2024.09.09,21:00:00,157.838,157.992,157.831,157.983,900
2024.09.09,22:00:00,157.958,157.968,157.696,157.878,2511
2024.09.09,23:00:00,157.891,158.166,157.89,158.005,5405
2024.09.10,00:00:00,158.005,158.279,157.926,158.255,12863
2024.09.10,01:00:00,158.254,158.367,158.155,158.263,8519
2024.09.10,02:00:00,158.262,158.273,157.99,158.237,7041
2024.09.10,03:00:00,158.237,158.275,158.043,158.109,6990
2024.09.10,04:00:00,158.11,158.136,157.929,157.961,4217
2024.09.10,05:00:00,157.959,158.081,157.915,158.033,5060
2024.09.10,06:00:00,158.039,158.473,157.903,158.446,9838
2024.09.10,07:00:00,158.45,158.535,158.303,158.495,12430
2024.09.10,08:00:00,158.494,158.633,158.308,158.399,11069
2024.09.10,09:00:00,158.403,158.409,158.012,158.027,9329
2024.09.10,10:00:00,158.028,158.091,157.803,157.919,7573
2024.09.10,11:00:00,157.919,158.055,157.766,157.885,10264
2024.09.10,12:00:00,157.882,157.94,157.473,157.575,11611
2024.09.10,13:00:00,157.575,157.885,157.508,157.584,14396
2024.09.10,14:00:00,157.58,157.619,157.072,157.251,20153
2024.09.10,15:00:00,157.252,157.28,156.859,156.872,13923
2024.09.10,16:00:00,156.871,157.112,156.794,157.085,9626
2024.09.10,17:00:00,157.084,157.171,156.905,156.958,8523
2024.09.10,18:00:00,156.967,157.016,156.792,156.928,8041
2024.09.10,19:00:00,156.927,156.987,156.888,156.919,6481
2024.09.10,20:00:00,156.918,157.039,156.895,156.931,6140
2024.09.10,21:00:00,156.794,156.943,156.76,156.937,539
2024.09.10,22:00:00,156.937,156.999,156.862,156.969,2508
2024.09.10,23:00:00,156.967,157.009,156.719,156.74,4789
2024.09.11,00:00:00,156.739,156.804,156.508,156.799,12164
2024.09.11,01:00:00,156.801,156.965,156.211,156.53,15545
2024.09.11,02:00:00,156.531,156.59,156.285,156.484,10749
2024.09.11,03:00:00,156.483,156.604,155.951,156.075,8201
2024.09.11,04:00:00,156.078,156.081,155.588,155.851,11994
2024.09.11,05:00:00,155.849,156.036,155.488,156.028,12906
2024.09.11,06:00:00,156.03,156.214,155.888,156.148,11241
2024.09.11,07:00:00,156.149,156.351,155.916,156.105,16930
2024.09.11,08:00:00,156.105,156.492,156.008,156.301,13287
2024.09.11,09:00:00,156.303,156.344,156.09,156.32,11620
2024.09.11,10:00:00,156.319,156.478,156.279,156.423,9966
2024.09.11,11:00:00,156.425,156.702,156.383,156.473,10525
2024.09.11,12:00:00,156.474,156.926,156.39,156.749,22627
2024.09.11,13:00:00,156.754,156.975,156.15,156.177,22931
2024.09.11,14:00:00,156.177,156.223,155.457,155.714,27962
