Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.10864,1.1091,1.10823,1.10832,2104
2024.09.09,01:00:00,1.10831,1.10909,1.10813,1.1082,3273
2024.09.09,02:00:00,1.10821,1.10831,1.10804,1.10806,1389
2024.09.09,03:00:00,1.10806,1.10817,1.10786,1.10799,1062
2024.09.09,04:00:00,1.10798,1.10802,1.10745,1.10756,1243
2024.09.09,05:00:00,1.10757,1.10757,1.10689,1.10689,1299
2024.09.09,06:00:00,1.10691,1.10718,1.10606,1.10645,2840
2024.09.09,07:00:00,1.10644,1.1066,1.10549,1.10591,4777
2024.09.09,08:00:00,1.10591,1.10624,1.10456,1.10476,4346
2024.09.09,09:00:00,1.10476,1.10591,1.10456,1.10561,3431
2024.09.09,10:00:00,1.10561,1.10567,1.10368,1.10401,3556
2024.09.09,11:00:00,1.10401,1.10451,1.10357,1.10448,3261
2024.09.09,12:00:00,1.10448,1.10489,1.1038,1.10396,4774
2024.09.09,13:00:00,1.10395,1.1052,1.10394,1.1047,4353
2024.09.09,14:00:00,1.1047,1.10471,1.1034,1.10421,5547
2024.09.09,15:00:00,1.1042,1.10447,1.10354,1.10415,3876
2024.09.09,16:00:00,1.10414,1.10507,1.10414,1.10487,2574
2024.09.09,17:00:00,1.10489,1.10536,1.10434,1.10435,2784
2024.09.09,18:00:00,1.10436,1.10463,1.10415,1.10429,2383
2024.09.09,19:00:00,1.10428,1.10429,1.10376,1.10382,2069
2024.09.09,20:00:00,1.10382,1.10392,1.10335,1.10342,1959
2024.09.09,21:00:00,1.10334,1.10373,1.10331,1.10368,719
2024.09.09,22:00:00,1.10368,1.10396,1.10349,1.10375,736
2024.09.09,23:00:00,1.10376,1.10381,1.10345,1.10352,540
2024.09.10,00:00:00,1.10352,1.10352,1.10283,1.10308,1648
2024.09.10,01:00:00,1.10307,1.10355,1.10305,1.10347,1839
2024.09.10,02:00:00,1.1035,1.10361,1.10326,1.10347,919
2024.09.10,03:00:00,1.10348,1.10391,1.10348,1.10384,905
2024.09.10,04:00:00,1.10384,1.10405,1.1036,1.104,697
2024.09.10,05:00:00,1.10399,1.10426,1.10383,1.10394,965
2024.09.10,06:00:00,1.10394,1.10496,1.10337,1.10496,3429
2024.09.10,07:00:00,1.10494,1.10494,1.10367,1.1037,4388
2024.09.10,08:00:00,1.1037,1.104,1.10335,1.10377,3258
2024.09.10,09:00:00,1.10376,1.10422,1.10323,1.10385,2852
2024.09.10,10:00:00,1.10386,1.10418,1.10338,1.10403,2227
2024.09.10,11:00:00,1.10404,1.10438,1.10267,1.10312,2763
2024.09.10,12:00:00,1.10311,1.10368,1.10265,1.10298,4894
2024.09.10,13:00:00,1.10298,1.10349,1.10175,1.10196,5423
2024.09.10,14:00:00,1.10196,1.10234,1.10151,1.10185,5523
2024.09.10,15:00:00,1.10185,1.10272,1.10174,1.1025,3920
2024.09.10,16:00:00,1.10251,1.10288,1.10225,1.10266,2744
2024.09.10,17:00:00,1.10266,1.10278,1.10226,1.10229,1994
2024.09.10,18:00:00,1.1023,1.1027,1.10205,1.10245,1616
2024.09.10,19:00:00,1.10244,1.10276,1.10223,1.10268,1805
2024.09.10,20:00:00,1.10267,1.1027,1.10182,1.10193,1484
2024.09.10,21:00:00,1.10189,1.10195,1.10185,1.10188,219
2024.09.10,22:00:00,1.10191,1.10216,1.10186,1.10197,573
2024.09.10,23:00:00,1.10198,1.10237,1.10194,1.102,783
2024.09.11,00:00:00,1.102,1.10227,1.10166,1.102,1873
2024.09.11,01:00:00,1.10199,1.10401,1.10182,1.10366,3043
