Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.96858,1.96982,1.9678,1.96887,3730
2024.09.09,01:00:00,1.96886,1.9689,1.96391,1.96393,5232
2024.09.09,02:00:00,1.96392,1.96522,1.96352,1.9647,2785
2024.09.09,03:00:00,1.96469,1.96553,1.96392,1.96506,2313
2024.09.09,04:00:00,1.96506,1.96587,1.96433,1.96505,1374
2024.09.09,05:00:00,1.96504,1.96772,1.96499,1.96674,2148
2024.09.09,06:00:00,1.96673,1.96725,1.9641,1.96458,3504
2024.09.09,07:00:00,1.96458,1.96577,1.96422,1.96483,5834
2024.09.09,08:00:00,1.96483,1.96731,1.9646,1.96649,3722
2024.09.09,09:00:00,1.96649,1.96726,1.96517,1.96525,3860
2024.09.09,10:00:00,1.96527,1.96694,1.96503,1.96616,4096
2024.09.09,11:00:00,1.9662,1.96642,1.96514,1.96538,3585
2024.09.09,12:00:00,1.96533,1.96741,1.96517,1.96684,4405
2024.09.09,13:00:00,1.96684,1.96721,1.9654,1.96569,6805
2024.09.09,14:00:00,1.96557,1.9659,1.96247,1.96583,8624
2024.09.09,15:00:00,1.96583,1.96661,1.9635,1.96358,6295
2024.09.09,16:00:00,1.96353,1.96417,1.96295,1.96342,4618
2024.09.09,17:00:00,1.96343,1.96427,1.96302,1.96414,4153
2024.09.09,18:00:00,1.96413,1.96429,1.96328,1.9638,4427
2024.09.09,19:00:00,1.96377,1.96414,1.96307,1.96313,3059
2024.09.09,20:00:00,1.96307,1.96347,1.96185,1.96185,2768
2024.09.09,21:00:00,1.96162,1.96213,1.96009,1.96211,908
2024.09.09,22:00:00,1.96216,1.96234,1.96116,1.96133,1002
2024.09.09,23:00:00,1.96139,1.96314,1.96133,1.96309,1672
2024.09.10,00:00:00,1.96305,1.96524,1.96274,1.96418,4300
2024.09.10,01:00:00,1.96418,1.9643,1.96257,1.96279,4657
2024.09.10,02:00:00,1.96284,1.96459,1.96256,1.96368,3077
2024.09.10,03:00:00,1.96367,1.96368,1.96215,1.96311,2090
2024.09.10,04:00:00,1.96311,1.96341,1.9612,1.96192,1606
2024.09.10,05:00:00,1.96191,1.96206,1.96006,1.9606,2726
2024.09.10,06:00:00,1.96056,1.96416,1.95984,1.96414,5176
2024.09.10,07:00:00,1.96415,1.96594,1.96415,1.9655,6179
2024.09.10,08:00:00,1.9655,1.96604,1.96455,1.96533,4400
2024.09.10,09:00:00,1.96534,1.9659,1.96381,1.96453,4550
2024.09.10,10:00:00,1.96454,1.96492,1.96306,1.96312,3701
2024.09.10,11:00:00,1.96304,1.9643,1.96234,1.96413,4525
2024.09.10,12:00:00,1.96417,1.96437,1.96047,1.96099,5746
2024.09.10,13:00:00,1.96099,1.96423,1.96053,1.96316,8601
2024.09.10,14:00:00,1.96312,1.96534,1.96312,1.96369,10348
2024.09.10,15:00:00,1.96368,1.96437,1.96247,1.96403,6534
2024.09.10,16:00:00,1.96403,1.96523,1.96399,1.96442,6820
2024.09.10,17:00:00,1.96442,1.96467,1.96321,1.96404,5097
2024.09.10,18:00:00,1.96405,1.96482,1.96324,1.96435,4240
2024.09.10,19:00:00,1.96434,1.96528,1.96397,1.96505,3077
2024.09.10,20:00:00,1.96505,1.96628,1.96497,1.96545,2832
2024.09.10,21:00:00,1.96503,1.966,1.96294,1.96517,1285
2024.09.10,22:00:00,1.96518,1.96651,1.96517,1.96561,939
2024.09.10,23:00:00,1.96564,1.96638,1.96518,1.96573,1249
2024.09.11,00:00:00,1.96563,1.96708,1.96507,1.96604,4257
2024.09.11,01:00:00,1.96604,1.96747,1.96487,1.96655,6100
2024.09.11,02:00:00,1.9665,1.9678,1.96581,1.96648,4341
2024.09.11,03:00:00,1.96656,1.96883,1.96632,1.96834,3084
2024.09.11,04:00:00,1.96837,1.96987,1.96834,1.96917,3272
2024.09.11,05:00:00,1.96918,1.97004,1.9675,1.9679,3678
2024.09.11,06:00:00,1.96777,1.96783,1.96326,1.96368,5370
2024.09.11,07:00:00,1.96376,1.96471,1.96225,1.96338,6444
2024.09.11,08:00:00,1.96331,1.96468,1.96233,1.96432,5642
2024.09.11,09:00:00,1.96429,1.9656,1.96423,1.96492,4245
2024.09.11,10:00:00,1.96494,1.96513,1.96178,1.9619,4313
2024.09.11,11:00:00,1.9619,1.96372,1.96144,1.96245,4511
2024.09.11,12:00:00,1.96244,1.96686,1.96196,1.9627,15471
2024.09.11,13:00:00,1.9627,1.96393,1.96197,1.96316,12626
2024.09.11,14:00:00,1.96312,1.96434,1.96011,1.96127,13229
2024.09.11,15:00:00,1.96126,1.96265,1.95796,1.95827,9736
2024.09.11,16:00:00,1.95827,1.95894,1.95727,1.95801,8162
2024.09.11,17:00:00,1.95801,1.95833,1.95632,1.9571,9282
2024.09.11,18:00:00,1.9571,1.95744,1.95496,1.956,6252
