Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.78082,1.78194,1.78063,1.78101,2404
2024.09.09,01:00:00,1.781,1.78136,1.78011,1.78029,2860
2024.09.09,02:00:00,1.78028,1.78043,1.77999,1.7801,1985
2024.09.09,03:00:00,1.78009,1.78039,1.77974,1.77976,1510
2024.09.09,04:00:00,1.77976,1.78011,1.77908,1.7791,1382
2024.09.09,05:00:00,1.77907,1.77955,1.77864,1.77923,1607
2024.09.09,06:00:00,1.77926,1.77944,1.77712,1.7773,2947
2024.09.09,07:00:00,1.77728,1.77802,1.77637,1.77748,5735
2024.09.09,08:00:00,1.7775,1.77767,1.77517,1.77591,4251
2024.09.09,09:00:00,1.77593,1.77664,1.77535,1.77535,3710
2024.09.09,10:00:00,1.77534,1.77537,1.77371,1.77428,3046
2024.09.09,11:00:00,1.77429,1.77515,1.77381,1.77459,3070
2024.09.09,12:00:00,1.77456,1.7763,1.77446,1.7751,4283
2024.09.09,13:00:00,1.77508,1.77811,1.77465,1.77688,5739
2024.09.09,14:00:00,1.7769,1.77724,1.77326,1.77371,7916
2024.09.09,15:00:00,1.7737,1.77451,1.7732,1.77391,5765
2024.09.09,16:00:00,1.7739,1.77448,1.77353,1.7744,4279
2024.09.09,17:00:00,1.77442,1.77507,1.77368,1.77381,4001
2024.09.09,18:00:00,1.77379,1.77393,1.77291,1.77319,3449
2024.09.09,19:00:00,1.77316,1.77354,1.77276,1.77301,3909
2024.09.09,20:00:00,1.773,1.77323,1.77181,1.77181,2014
2024.09.09,21:00:00,1.77122,1.77204,1.77118,1.77178,500
2024.09.09,22:00:00,1.77175,1.7727,1.77175,1.77225,540
2024.09.09,23:00:00,1.77225,1.77277,1.77221,1.77274,546
2024.09.10,00:00:00,1.77274,1.77274,1.77202,1.77232,2041
2024.09.10,01:00:00,1.77234,1.77274,1.77191,1.77266,1976
2024.09.10,02:00:00,1.77268,1.77295,1.77242,1.77278,1608
2024.09.10,03:00:00,1.77278,1.7733,1.7727,1.77308,1080
2024.09.10,04:00:00,1.77308,1.77382,1.77306,1.77376,1057
2024.09.10,05:00:00,1.77374,1.77398,1.77297,1.77297,1699
2024.09.10,06:00:00,1.77289,1.77687,1.77289,1.77686,3444
2024.09.10,07:00:00,1.77689,1.77784,1.7761,1.77611,4415
2024.09.10,08:00:00,1.7761,1.77654,1.77524,1.77596,3488
2024.09.10,09:00:00,1.77597,1.77718,1.77553,1.77699,3187
2024.09.10,10:00:00,1.77701,1.77722,1.77601,1.77705,3043
2024.09.10,11:00:00,1.77704,1.77763,1.77617,1.77654,2962
2024.09.10,12:00:00,1.77652,1.7772,1.77353,1.77384,4310
2024.09.10,13:00:00,1.77378,1.77529,1.77344,1.7744,6252
2024.09.10,14:00:00,1.77443,1.77722,1.77437,1.77606,8500
2024.09.10,15:00:00,1.77608,1.77785,1.77558,1.7775,5749
2024.09.10,16:00:00,1.77749,1.77834,1.77686,1.77811,4260
2024.09.10,17:00:00,1.77812,1.77896,1.77796,1.77861,3997
2024.09.10,18:00:00,1.77864,1.78068,1.77849,1.77956,3550
2024.09.10,19:00:00,1.77958,1.77984,1.77928,1.77968,3217
2024.09.10,20:00:00,1.77969,1.78025,1.77939,1.77939,2066
2024.09.10,21:00:00,1.77847,1.78006,1.77725,1.77945,1170
2024.09.10,22:00:00,1.77943,1.78038,1.77928,1.78018,365
2024.09.10,23:00:00,1.7802,1.78047,1.77994,1.78005,582
2024.09.11,00:00:00,1.78008,1.78032,1.77924,1.77954,2151
2024.09.11,01:00:00,1.77955,1.78086,1.77935,1.78059,3823
2024.09.11,02:00:00,1.78058,1.78112,1.78025,1.78068,2777
2024.09.11,03:00:00,1.78069,1.78192,1.78046,1.7814,1988
2024.09.11,04:00:00,1.78141,1.78181,1.78135,1.78181,2132
2024.09.11,05:00:00,1.78186,1.7825,1.78138,1.78157,2792
2024.09.11,06:00:00,1.78167,1.78167,1.77821,1.77869,3494
2024.09.11,07:00:00,1.77871,1.77943,1.77744,1.7782,4851
2024.09.11,08:00:00,1.77821,1.77844,1.77722,1.77726,3953
2024.09.11,09:00:00,1.77727,1.7794,1.77725,1.77791,3279
2024.09.11,10:00:00,1.77794,1.77804,1.77602,1.77725,3351
2024.09.11,11:00:00,1.77727,1.77804,1.77675,1.77718,3062
2024.09.11,12:00:00,1.77718,1.77806,1.77426,1.77577,13599
2024.09.11,13:00:00,1.77578,1.77615,1.77355,1.7737,11233
2024.09.11,14:00:00,1.77367,1.77391,1.77064,1.77115,12039
2024.09.11,15:00:00,1.77114,1.77222,1.77039,1.77045,7510
2024.09.11,16:00:00,1.77044,1.77161,1.77019,1.77079,5542
2024.09.11,17:00:00,1.77076,1.77128,1.76999,1.77087,5090
2024.09.11,18:00:00,1.77088,1.77143,1.77031,1.77076,4251
2024.09.11,19:00:00,1.77078,1.7709,1.76951,1.76964,4347
2024.09.11,20:00:00,1.76964,1.77052,1.76942,1.76976,2432
2024.09.11,21:00:00,1.76917,1.77032,1.7681,1.77012,622
2024.09.11,22:00:00,1.77012,1.77051,1.76984,1.77031,617
2024.09.11,23:00:00,1.77033,1.77051,1.76972,1.77011,600
2024.09.12,00:00:00,1.77012,1.77028,1.76942,1.76976,2299
2024.09.12,01:00:00,1.76975,1.77062,1.76969,1.77017,2941
2024.09.12,02:00:00,1.77018,1.77069,1.76982,1.77055,2150
2024.09.12,03:00:00,1.77055,1.77083,1.77003,1.77007,1458
2024.09.12,04:00:00,1.77007,1.77073,1.77007,1.77064,1472
2024.09.12,05:00:00,1.77064,1.77099,1.77042,1.77098,1457
2024.09.12,06:00:00,1.77099,1.77102,1.76979,1.76987,2793
2024.09.12,07:00:00,1.76989,1.77059,1.76927,1.76978,4064
2024.09.12,08:00:00,1.76979,1.77153,1.76926,1.77124,4484
2024.09.12,09:00:00,1.77123,1.77172,1.77081,1.77092,2814
2024.09.12,10:00:00,1.77091,1.77213,1.77078,1.77123,2855
2024.09.12,11:00:00,1.77124,1.77179,1.77068,1.7709,3337
2024.09.12,12:00:00,1.77092,1.77358,1.77064,1.77327,9388
2024.09.12,13:00:00,1.7734,1.77565,1.77331,1.77527,9992
2024.09.12,14:00:00,1.77529,1.7788,1.77506,1.77796,8169
2024.09.12,15:00:00,1.77794,1.7784,1.77692,1.77805,6438
2024.09.12,16:00:00,1.77804,1.77993,1.77794,1.77918,4853
2024.09.12,17:00:00,1.77916,1.77996,1.7783,1.77959,5497
2024.09.12,18:00:00,1.77958,1.78108,1.77922,1.78034,5432
2024.09.12,19:00:00,1.78033,1.78163,1.78023,1.7809,4499
2024.09.12,20:00:00,1.78087,1.78236,1.78051,1.78142,3189
2024.09.12,21:00:00,1.78133,1.7821,1.78122,1.78197,555
2024.09.12,22:00:00,1.7819,1.7825,1.78167,1.78212,503
2024.09.12,23:00:00,1.78213,1.78273,1.78206,1.7826,623
2024.09.13,00:00:00,1.78256,1.78356,1.78243,1.78321,2156
2024.09.13,01:00:00,1.7832,1.78379,1.78296,1.78333,2492
2024.09.13,02:00:00,1.78336,1.78424,1.78332,1.78412,2462
2024.09.13,03:00:00,1.78408,1.78467,1.78393,1.78429,1880
2024.09.13,04:00:00,1.78432,1.78486,1.78409,1.78467,1523
2024.09.13,05:00:00,1.78466,1.78496,1.78425,1.7849,1658
2024.09.13,06:00:00,1.78487,1.78551,1.78261,1.78323,3568
2024.09.13,07:00:00,1.78324,1.78454,1.78245,1.78413,4528
2024.09.13,08:00:00,1.7841,1.78464,1.78346,1.78423,3483
2024.09.13,09:00:00,1.78422,1.78464,1.78279,1.78282,3843
2024.09.13,10:00:00,1.78274,1.78345,1.7822,1.78255,3634
2024.09.13,11:00:00,1.78254,1.78384,1.78228,1.78309,4207
2024.09.13,12:00:00,1.78309,1.78367,1.782,1.7834,5753
2024.09.13,13:00:00,1.78339,1.78491,1.78324,1.7841,6785
2024.09.13,14:00:00,1.78417,1.78607,1.7837,1.78601,8358
2024.09.13,15:00:00,1.78602,1.78616,1.78398,1.7843,5301
2024.09.13,16:00:00,1.78431,1.78474,1.78359,1.78472,4308
2024.09.13,17:00:00,1.78471,1.78506,1.78389,1.7842,2931
2024.09.13,18:00:00,1.78419,1.78472,1.78332,1.78357,4138
2024.09.13,19:00:00,1.78358,1.78399,1.78319,1.78351,4039
2024.09.13,20:00:00,1.78354,1.78369,1.78232,1.78232,2686
2024.09.15,21:00:00,1.78351,1.78351,1.78227,1.78291,298
2024.09.15,22:00:00,1.78281,1.78401,1.78258,1.78339,1100
2024.09.15,23:00:00,1.78341,1.78362,1.78318,1.78346,854
2024.09.16,00:00:00,1.78345,1.78431,1.78345,1.78392,1648
2024.09.16,01:00:00,1.78391,1.78462,1.78379,1.78403,1679
2024.09.16,02:00:00,1.78401,1.78483,1.78393,1.78436,1188
2024.09.16,03:00:00,1.78444,1.78583,1.78441,1.78542,1810
2024.09.16,04:00:00,1.7854,1.78545,1.78479,1.78491,1230
2024.09.16,05:00:00,1.78493,1.78584,1.78487,1.78544,1508
2024.09.16,06:00:00,1.7855,1.78818,1.7855,1.78761,2918
2024.09.16,07:00:00,1.78761,1.78853,1.78666,1.78829,3796
2024.09.16,08:00:00,1.78829,1.79051,1.78819,1.79018,4309
2024.09.16,09:00:00,1.79019,1.79114,1.78953,1.79091,4720
2024.09.16,10:00:00,1.79091,1.79259,1.79083,1.79101,3554
2024.09.16,11:00:00,1.79091,1.79247,1.79062,1.79209,3781
