Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.10831,1.10934,1.10818,1.10873,3800
2024.09.09,01:00:00,1.10877,1.11088,1.1087,1.11051,4185
2024.09.09,02:00:00,1.11054,1.11056,1.10979,1.11005,2391
2024.09.09,03:00:00,1.11004,1.11053,1.10975,1.10991,1736
2024.09.09,04:00:00,1.10993,1.11076,1.10992,1.11006,2070
2024.09.09,05:00:00,1.11005,1.11005,1.10917,1.10959,2398
2024.09.09,06:00:00,1.10963,1.10995,1.10827,1.10848,4318
2024.09.09,07:00:00,1.10846,1.11002,1.10837,1.10914,5623
2024.09.09,08:00:00,1.10913,1.11054,1.10836,1.11022,4347
2024.09.09,09:00:00,1.11023,1.11053,1.10914,1.10934,3231
2024.09.09,10:00:00,1.10933,1.11031,1.10907,1.11025,2836
2024.09.09,11:00:00,1.11026,1.11142,1.11014,1.11126,2854
2024.09.09,12:00:00,1.11124,1.11174,1.11029,1.11054,4136
2024.09.09,13:00:00,1.11055,1.11155,1.11009,1.11051,5479
2024.09.09,14:00:00,1.11049,1.11067,1.10796,1.10819,6375
2024.09.09,15:00:00,1.10818,1.10946,1.1074,1.10935,4997
2024.09.09,16:00:00,1.10934,1.11104,1.1092,1.1109,3865
2024.09.09,17:00:00,1.11091,1.11116,1.1097,1.1098,3122
2024.09.09,18:00:00,1.10979,1.10996,1.10927,1.1093,2576
2024.09.09,19:00:00,1.10928,1.11003,1.10908,1.10997,2537
2024.09.09,20:00:00,1.10996,1.11035,1.10984,1.10999,1505
2024.09.09,21:00:00,1.10998,1.11039,1.10842,1.11006,895
2024.09.09,22:00:00,1.11005,1.11032,1.10967,1.10974,726
2024.09.09,23:00:00,1.10977,1.11055,1.10975,1.1103,817
2024.09.10,00:00:00,1.11028,1.11037,1.10892,1.10992,3241
2024.09.10,01:00:00,1.10992,1.11039,1.10972,1.11012,2167
2024.09.10,02:00:00,1.11011,1.11014,1.10916,1.10971,1641
2024.09.10,03:00:00,1.10973,1.10987,1.10935,1.10977,1179
2024.09.10,04:00:00,1.10975,1.11,1.10922,1.1094,1009
2024.09.10,05:00:00,1.10938,1.10963,1.10897,1.10911,1624
2024.09.10,06:00:00,1.10886,1.11192,1.10867,1.1116,4205
2024.09.10,07:00:00,1.11161,1.11215,1.1107,1.11079,4365
2024.09.10,08:00:00,1.11079,1.1114,1.10948,1.10973,3332
2024.09.10,09:00:00,1.10973,1.11054,1.10874,1.11009,3233
2024.09.10,10:00:00,1.11012,1.11057,1.10958,1.11016,2696
2024.09.10,11:00:00,1.11014,1.11052,1.10919,1.10945,3007
2024.09.10,12:00:00,1.10943,1.10974,1.10602,1.10648,4983
2024.09.10,13:00:00,1.10649,1.10767,1.10587,1.1071,6218
2024.09.10,14:00:00,1.10708,1.10732,1.10502,1.10671,8248
2024.09.10,15:00:00,1.10673,1.10676,1.10511,1.10515,5433
2024.09.10,16:00:00,1.10515,1.10665,1.10444,1.10656,4621
2024.09.10,17:00:00,1.10655,1.10721,1.10628,1.1067,3575
2024.09.10,18:00:00,1.10671,1.10774,1.10664,1.10752,2707
2024.09.10,19:00:00,1.10756,1.10789,1.10735,1.1078,2163
2024.09.10,20:00:00,1.10783,1.10789,1.10746,1.10751,2108
2024.09.10,21:00:00,1.10661,1.10812,1.10617,1.10727,1952
2024.09.10,22:00:00,1.10724,1.10794,1.10717,1.10784,808
2024.09.10,23:00:00,1.10782,1.10807,1.10731,1.10737,946
2024.09.11,00:00:00,1.10738,1.10751,1.10612,1.10653,2543
2024.09.11,01:00:00,1.10654,1.10715,1.105,1.10591,5029
2024.09.11,02:00:00,1.10592,1.10634,1.10522,1.10606,3570
2024.09.11,03:00:00,1.10603,1.1067,1.10542,1.10561,3155
2024.09.11,04:00:00,1.10558,1.10568,1.10413,1.10459,2924
2024.09.11,05:00:00,1.10459,1.10562,1.10388,1.10542,3883
2024.09.11,06:00:00,1.10543,1.10543,1.10414,1.10452,4428
2024.09.11,07:00:00,1.10454,1.10655,1.10446,1.10631,5192
2024.09.11,08:00:00,1.10629,1.10666,1.10561,1.1062,3677
2024.09.11,09:00:00,1.10621,1.10756,1.10613,1.10713,2564
2024.09.11,10:00:00,1.10716,1.10765,1.10643,1.10762,2667
2024.09.11,11:00:00,1.10767,1.10806,1.10708,1.10799,3005
2024.09.11,12:00:00,1.10799,1.11109,1.10765,1.11061,12504
2024.09.11,13:00:00,1.11063,1.11233,1.10635,1.10655,10821
2024.09.11,14:00:00,1.10653,1.10681,1.10234,1.10424,11831
2024.09.11,15:00:00,1.10425,1.1081,1.10383,1.10764,7508
2024.09.11,16:00:00,1.10764,1.10924,1.10751,1.10819,5280
2024.09.11,17:00:00,1.10818,1.11011,1.1081,1.10979,4586
2024.09.11,18:00:00,1.10977,1.11055,1.1093,1.11036,2920
2024.09.11,19:00:00,1.11038,1.11205,1.11038,1.11159,3017
2024.09.11,20:00:00,1.11159,1.1125,1.11126,1.11126,3164
2024.09.11,21:00:00,1.11125,1.11156,1.11011,1.11134,1150
2024.09.11,22:00:00,1.11132,1.11168,1.11104,1.1116,790
2024.09.11,23:00:00,1.11161,1.11219,1.11151,1.11174,1195
2024.09.12,00:00:00,1.11174,1.11249,1.11133,1.1114,2703
2024.09.12,01:00:00,1.11139,1.11158,1.11029,1.1106,3550
2024.09.12,02:00:00,1.11055,1.11162,1.11039,1.11151,2162
2024.09.12,03:00:00,1.11149,1.11251,1.11131,1.11248,1092
2024.09.12,04:00:00,1.11249,1.11329,1.1124,1.11328,986
2024.09.12,05:00:00,1.11326,1.11372,1.11268,1.11308,1632
2024.09.12,06:00:00,1.11307,1.11307,1.11178,1.11254,3164
2024.09.12,07:00:00,1.11253,1.11464,1.11229,1.11413,5167
2024.09.12,08:00:00,1.11412,1.11524,1.11331,1.11455,4511
2024.09.12,09:00:00,1.11455,1.11569,1.11428,1.11547,2727
2024.09.12,10:00:00,1.11545,1.11631,1.11441,1.11444,2716
2024.09.12,11:00:00,1.11446,1.11461,1.11289,1.11352,3100
2024.09.12,12:00:00,1.11354,1.11483,1.11198,1.11329,10978
2024.09.12,13:00:00,1.11337,1.11585,1.11269,1.11413,9906
2024.09.12,14:00:00,1.11418,1.11758,1.11379,1.11656,7402
2024.09.12,15:00:00,1.11656,1.11734,1.115,1.11536,6101
2024.09.12,16:00:00,1.11533,1.11759,1.11528,1.11695,4273
2024.09.12,17:00:00,1.11694,1.11707,1.11582,1.11648,5155
2024.09.12,18:00:00,1.11645,1.1171,1.11586,1.11633,5527
2024.09.12,19:00:00,1.11633,1.11677,1.1158,1.1166,5445
2024.09.12,20:00:00,1.11661,1.11727,1.11621,1.11671,3279
2024.09.12,21:00:00,1.11671,1.11699,1.11594,1.11639,760
2024.09.12,22:00:00,1.11665,1.1173,1.1163,1.11702,764
2024.09.12,23:00:00,1.11702,1.11707,1.11579,1.11601,1594
2024.09.13,00:00:00,1.11603,1.1169,1.11546,1.1167,3827
2024.09.13,01:00:00,1.11669,1.11687,1.11619,1.11631,3424
2024.09.13,02:00:00,1.11632,1.11662,1.11543,1.11614,3002
