Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,187.1,187.526,187.077,187.361,9311
2024.09.09,01:00:00,187.361,187.804,187.324,187.776,8785
2024.09.09,02:00:00,187.779,187.791,187.427,187.55,5948
2024.09.09,03:00:00,187.549,187.715,187.325,187.441,5264
2024.09.09,04:00:00,187.444,187.8,187.415,187.568,5812
2024.09.09,05:00:00,187.567,187.648,187.282,187.43,6291
2024.09.09,06:00:00,187.43,187.51,187.166,187.359,8571
2024.09.09,07:00:00,187.366,187.725,187.366,187.61,10681
2024.09.09,08:00:00,187.609,187.741,187.422,187.653,7935
2024.09.09,09:00:00,187.654,188.007,187.517,187.815,6798
2024.09.09,10:00:00,187.818,187.999,187.781,187.906,5891
2024.09.09,11:00:00,187.907,188.119,187.854,187.935,6036
2024.09.09,12:00:00,187.927,188.062,187.332,187.389,8255
2024.09.09,13:00:00,187.389,187.448,186.932,186.969,12289
2024.09.09,14:00:00,186.968,187.113,186.545,186.668,11755
2024.09.09,15:00:00,186.666,187.049,186.634,186.973,9561
2024.09.09,16:00:00,186.971,187.197,186.885,187.13,6087
2024.09.09,17:00:00,187.132,187.192,186.816,186.849,6192
2024.09.09,18:00:00,186.85,186.956,186.751,186.762,4828
2024.09.09,19:00:00,186.758,186.9,186.723,186.883,4254
2024.09.09,20:00:00,186.878,187.197,186.866,187.154,3273
2024.09.09,21:00:00,187.138,187.138,187.005,187.103,539
2024.09.09,22:00:00,187.101,187.137,186.794,186.972,2001
2024.09.09,23:00:00,186.979,187.33,186.979,187.142,3035
2024.09.10,00:00:00,187.141,187.424,186.969,187.402,7765
2024.09.10,01:00:00,187.402,187.548,187.296,187.41,5800
2024.09.10,02:00:00,187.41,187.41,187.034,187.37,4981
2024.09.10,03:00:00,187.369,187.406,187.158,187.243,3281
2024.09.10,04:00:00,187.241,187.31,187.043,187.102,2787
2024.09.10,05:00:00,187.101,187.212,187.024,187.139,3905
2024.09.10,06:00:00,187.137,187.909,187.131,187.864,6614
2024.09.10,07:00:00,187.868,188.041,187.705,187.962,8657
2024.09.10,08:00:00,187.967,188.093,187.658,187.781,7536
2024.09.10,09:00:00,187.783,187.795,187.398,187.505,6689
2024.09.10,10:00:00,187.511,187.58,187.223,187.362,5522
2024.09.10,11:00:00,187.361,187.542,187.223,187.334,6910
2024.09.10,12:00:00,187.332,187.431,186.659,186.725,8825
2024.09.10,13:00:00,186.719,187.037,186.626,186.708,10485
2024.09.10,14:00:00,186.706,186.757,186.065,186.332,15706
2024.09.10,15:00:00,186.332,186.346,185.871,185.891,11655
2024.09.10,16:00:00,185.888,186.223,185.719,186.167,6463
2024.09.10,17:00:00,186.166,186.333,186.037,186.134,5801
2024.09.10,18:00:00,186.137,186.267,186.002,186.207,5871
2024.09.10,19:00:00,186.208,186.291,186.169,186.218,4313
2024.09.10,20:00:00,186.219,186.396,186.188,186.288,4109
2024.09.10,21:00:00,186.062,186.277,185.944,186.236,1399
2024.09.10,22:00:00,186.236,186.358,186.165,186.316,1046
2024.09.10,23:00:00,186.313,186.36,186.011,186.031,1932
2024.09.11,00:00:00,186.031,186.064,185.697,185.995,7705
2024.09.11,01:00:00,185.997,186.196,185.205,185.643,8945
2024.09.11,02:00:00,185.645,185.724,185.355,185.632,6858
2024.09.11,03:00:00,185.632,185.749,184.993,185.141,7075
2024.09.11,04:00:00,185.141,185.148,184.512,184.85,7460
2024.09.11,05:00:00,184.847,185.174,184.457,185.158,7905
2024.09.11,06:00:00,185.152,185.183,184.843,185.005,7726
2024.09.11,07:00:00,185.007,185.266,184.718,184.968,10699
2024.09.11,08:00:00,184.966,185.361,184.849,185.165,8433
2024.09.11,09:00:00,185.165,185.288,184.998,185.252,7077
2024.09.11,10:00:00,185.255,185.385,185.053,185.299,6041
2024.09.11,11:00:00,185.305,185.615,185.254,185.488,7235
2024.09.11,12:00:00,185.489,186.001,185.22,185.849,19175
2024.09.11,13:00:00,185.853,186.148,184.79,184.825,18375
2024.09.11,14:00:00,184.82,184.878,183.712,184.056,22497
2024.09.11,15:00:00,184.054,184.735,184.027,184.576,14477
2024.09.11,16:00:00,184.575,185.144,184.555,185.045,12549
2024.09.11,17:00:00,185.044,185.625,185.007,185.502,11308
2024.09.11,18:00:00,185.5,185.624,185.368,185.478,7116
2024.09.11,19:00:00,185.483,185.762,185.472,185.702,7312
2024.09.11,20:00:00,185.702,185.813,185.641,185.641,5549
2024.09.11,21:00:00,185.628,185.647,185.459,185.572,715
2024.09.11,22:00:00,185.575,185.825,185.508,185.797,1270
2024.09.11,23:00:00,185.795,186.016,185.785,185.966,3169
2024.09.12,00:00:00,185.966,186.356,185.941,185.974,7954
