Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,2.1282,2.12877,2.12659,2.12715,5712
2024.09.09,01:00:00,2.12715,2.12726,2.12388,2.12409,5299
2024.09.09,02:00:00,2.12408,2.12424,2.12289,2.12356,3620
2024.09.09,03:00:00,2.12354,2.12717,2.1233,2.12694,3188
2024.09.09,04:00:00,2.12696,2.12754,2.1264,2.12676,2732
2024.09.09,05:00:00,2.12676,2.12919,2.12664,2.12833,3249
2024.09.09,06:00:00,2.12833,2.13077,2.12793,2.1293,5084
2024.09.09,07:00:00,2.12931,2.13141,2.12892,2.13018,6466
2024.09.09,08:00:00,2.1302,2.13342,2.12977,2.13293,5307
2024.09.09,09:00:00,2.13294,2.13385,2.13169,2.1321,4513
2024.09.09,10:00:00,2.13209,2.13468,2.13192,2.13294,4425
2024.09.09,11:00:00,2.13296,2.13345,2.13204,2.13241,3950
2024.09.09,12:00:00,2.13242,2.13415,2.13169,2.13231,5081
2024.09.09,13:00:00,2.13233,2.13259,2.12983,2.12999,6258
2024.09.09,14:00:00,2.13001,2.1306,2.12791,2.129,7167
2024.09.09,15:00:00,2.12898,2.13006,2.12756,2.12767,6277
2024.09.09,16:00:00,2.12765,2.12828,2.12691,2.12763,4179
2024.09.09,17:00:00,2.12763,2.12765,2.12654,2.12723,4122
2024.09.09,18:00:00,2.12723,2.1287,2.12714,2.12852,4329
2024.09.09,19:00:00,2.1285,2.12988,2.12783,2.12784,3966
2024.09.09,20:00:00,2.12783,2.1284,2.12658,2.12688,3029
2024.09.09,21:00:00,2.12564,2.12735,2.12476,2.12642,1607
2024.09.09,22:00:00,2.12656,2.12704,2.12532,2.12616,1228
2024.09.09,23:00:00,2.12616,2.12807,2.12609,2.12799,1325
2024.09.10,00:00:00,2.12798,2.13008,2.12762,2.12993,4633
2024.09.10,01:00:00,2.12996,2.13003,2.12842,2.1285,4496
2024.09.10,02:00:00,2.12849,2.12959,2.12818,2.1288,3383
2024.09.10,03:00:00,2.12878,2.12881,2.12717,2.12794,2285
2024.09.10,04:00:00,2.12795,2.12795,2.12611,2.12661,1919
2024.09.10,05:00:00,2.1266,2.12682,2.12402,2.12402,2805
2024.09.10,06:00:00,2.12354,2.12812,2.12353,2.12803,5164
2024.09.10,07:00:00,2.12805,2.12965,2.12772,2.12806,5882
2024.09.10,08:00:00,2.12806,2.12852,2.12696,2.1275,4683
2024.09.10,09:00:00,2.12749,2.12781,2.12563,2.12646,4432
2024.09.10,10:00:00,2.12649,2.12683,2.12505,2.12563,3788
2024.09.10,11:00:00,2.12562,2.12663,2.12507,2.1265,4310
2024.09.10,12:00:00,2.12647,2.12699,2.12312,2.12371,5182
2024.09.10,13:00:00,2.1237,2.12622,2.12318,2.12394,6581
2024.09.10,14:00:00,2.12396,2.12471,2.12252,2.12311,7939
2024.09.10,15:00:00,2.12311,2.12316,2.12135,2.12277,6280
2024.09.10,16:00:00,2.12276,2.12495,2.1227,2.12476,5969
2024.09.10,17:00:00,2.1248,2.12502,2.12393,2.12485,4939
2024.09.10,18:00:00,2.12484,2.12542,2.12406,2.12497,5501
2024.09.10,19:00:00,2.12499,2.1263,2.12495,2.12622,5318
2024.09.10,20:00:00,2.12623,2.12704,2.12569,2.12623,3653
2024.09.10,21:00:00,2.1256,2.1268,2.12386,2.12625,2937
2024.09.10,22:00:00,2.12664,2.12739,2.12638,2.12638,967
2024.09.10,23:00:00,2.12645,2.12717,2.12573,2.12675,1415
2024.09.11,00:00:00,2.12678,2.12865,2.1265,2.12826,4158
2024.09.11,01:00:00,2.12827,2.13008,2.12727,2.1289,5522
2024.09.11,02:00:00,2.12892,2.12977,2.12786,2.12962,4512
2024.09.11,03:00:00,2.12962,2.13213,2.12949,2.13195,3578
2024.09.11,04:00:00,2.13193,2.13356,2.13191,2.13306,3579
2024.09.11,05:00:00,2.13307,2.13392,2.13111,2.13212,3906
2024.09.11,06:00:00,2.13211,2.13211,2.12618,2.12657,5475
2024.09.11,07:00:00,2.12656,2.12805,2.12562,2.12759,5370
2024.09.11,08:00:00,2.12758,2.12886,2.12712,2.12849,4655
2024.09.11,09:00:00,2.12849,2.13058,2.12849,2.13011,4645
2024.09.11,10:00:00,2.13015,2.13063,2.12823,2.12854,4588
2024.09.11,11:00:00,2.12853,2.1303,2.128,2.12898,4676
2024.09.11,12:00:00,2.12895,2.13389,2.12813,2.13163,10060
2024.09.11,13:00:00,2.13164,2.13202,2.12834,2.12894,9738
2024.09.11,14:00:00,2.12898,2.13061,2.12702,2.12794,10147
2024.09.11,15:00:00,2.12793,2.1288,2.12627,2.1275,7720
2024.09.11,16:00:00,2.1275,2.12906,2.12736,2.12854,6355
2024.09.11,17:00:00,2.12852,2.12904,2.12748,2.12792,5806
2024.09.11,18:00:00,2.12792,2.1281,2.12512,2.12682,4832
2024.09.11,19:00:00,2.12686,2.1272,2.12562,2.1261,6558
2024.09.11,20:00:00,2.1261,2.12632,2.12451,2.12464,4711
2024.09.11,21:00:00,2.12564,2.12564,2.12329,2.12469,1012
2024.09.11,22:00:00,2.12452,2.12528,2.12403,2.12496,1185
2024.09.11,23:00:00,2.12491,2.12629,2.12444,2.12599,1438
2024.09.12,00:00:00,2.12598,2.12635,2.12388,2.12559,4122
2024.09.12,01:00:00,2.12559,2.12632,2.12499,2.12542,4337
2024.09.12,02:00:00,2.1254,2.12644,2.12445,2.1258,3422
2024.09.12,03:00:00,2.12578,2.12629,2.12236,2.12249,2565
2024.09.12,04:00:00,2.12249,2.12266,2.1208,2.12108,2228
2024.09.12,05:00:00,2.12108,2.1214,2.11997,2.12056,3100
2024.09.12,06:00:00,2.12056,2.12186,2.11946,2.12091,4229
2024.09.12,07:00:00,2.12092,2.12445,2.12059,2.12444,6092
2024.09.12,08:00:00,2.12444,2.12799,2.12398,2.12753,5986
2024.09.12,09:00:00,2.12754,2.12795,2.12652,2.12714,4475
2024.09.12,10:00:00,2.12713,2.12891,2.12672,2.12672,4199
2024.09.12,11:00:00,2.12671,2.12707,2.12584,2.12586,4428
2024.09.12,12:00:00,2.12587,2.12712,2.12337,2.12548,8554
2024.09.12,13:00:00,2.12547,2.12788,2.12489,2.12566,9308
2024.09.12,14:00:00,2.12568,2.12746,2.12539,2.12655,8032
2024.09.12,15:00:00,2.12654,2.1276,2.12534,2.12599,6398
2024.09.12,16:00:00,2.12603,2.12778,2.12532,2.12549,5773
2024.09.12,17:00:00,2.12542,2.12549,2.12191,2.12247,6214
2024.09.12,18:00:00,2.12249,2.12358,2.12229,2.12236,5970
2024.09.12,19:00:00,2.12236,2.12322,2.12201,2.1223,6309
2024.09.12,20:00:00,2.1223,2.12301,2.12162,2.12177,4232
2024.09.12,21:00:00,2.12252,2.12347,2.12081,2.12156,418
2024.09.12,22:00:00,2.12203,2.12249,2.12144,2.12223,1198
2024.09.12,23:00:00,2.12226,2.12282,2.12141,2.12231,2206
2024.09.13,00:00:00,2.12234,2.1238,2.12184,2.12299,4756
2024.09.13,01:00:00,2.12298,2.12637,2.12256,2.12587,5109
2024.09.13,02:00:00,2.12588,2.12685,2.12512,2.12646,4063
2024.09.13,03:00:00,2.12646,2.12733,2.1258,2.12691,3607
2024.09.13,04:00:00,2.12691,2.12703,2.12484,2.12613,3288
2024.09.13,05:00:00,2.12614,2.12676,2.12547,2.12637,3031
2024.09.13,06:00:00,2.12635,2.12782,2.12374,2.12476,4800
2024.09.13,07:00:00,2.12475,2.12628,2.12382,2.12502,5915
2024.09.13,08:00:00,2.12502,2.12591,2.12434,2.12559,5522
2024.09.13,09:00:00,2.12561,2.12574,2.12343,2.12417,5352
2024.09.13,10:00:00,2.12416,2.12635,2.12392,2.12612,4832
2024.09.13,11:00:00,2.12613,2.12887,2.12595,2.12834,4651
2024.09.13,12:00:00,2.12835,2.12901,2.12631,2.12886,6353
2024.09.13,13:00:00,2.12886,2.1303,2.12757,2.12843,6863
2024.09.13,14:00:00,2.12843,2.13299,2.12801,2.13295,8432
2024.09.13,15:00:00,2.13295,2.13299,2.13028,2.13083,5652
2024.09.13,16:00:00,2.13078,2.13092,2.12994,2.13037,5089
2024.09.13,17:00:00,2.13037,2.13091,2.12981,2.13001,3835
