Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.31312,1.31409,1.3129,1.31299,3234
2024.09.09,01:00:00,1.31307,1.31428,1.31307,1.31353,2823
2024.09.09,02:00:00,1.31355,1.31358,1.31308,1.31319,1685
2024.09.09,03:00:00,1.31319,1.31344,1.3129,1.313,1127
2024.09.09,04:00:00,1.31299,1.31326,1.31192,1.31192,1700
2024.09.09,05:00:00,1.31192,1.31196,1.31133,1.31151,2552
2024.09.09,06:00:00,1.31152,1.3118,1.31011,1.3102,3513
2024.09.09,07:00:00,1.3102,1.31083,1.30905,1.31053,5347
2024.09.09,08:00:00,1.31054,1.31079,1.30825,1.30879,3555
2024.09.09,09:00:00,1.30881,1.30998,1.30853,1.30896,3245
2024.09.09,10:00:00,1.30893,1.30893,1.30726,1.30794,2830
2024.09.09,11:00:00,1.30795,1.30904,1.30788,1.30869,2412
2024.09.09,12:00:00,1.30867,1.30966,1.30818,1.30831,3369
2024.09.09,13:00:00,1.30829,1.31008,1.30808,1.30936,4341
2024.09.09,14:00:00,1.30939,1.30947,1.30673,1.30778,5678
2024.09.09,15:00:00,1.30778,1.30858,1.30691,1.30821,5356
2024.09.09,16:00:00,1.30819,1.30975,1.30816,1.30968,3502
2024.09.09,17:00:00,1.3097,1.31018,1.30828,1.30833,3076
2024.09.09,18:00:00,1.30834,1.30858,1.30769,1.30778,2990
2024.09.09,19:00:00,1.30776,1.30788,1.30723,1.30729,2771
2024.09.09,20:00:00,1.3073,1.30763,1.30697,1.30729,2689
2024.09.09,21:00:00,1.30725,1.30734,1.3069,1.3073,671
2024.09.09,22:00:00,1.30728,1.30763,1.30703,1.30717,912
2024.09.09,23:00:00,1.30716,1.30741,1.30689,1.30705,489
2024.09.10,00:00:00,1.30704,1.30707,1.30574,1.30625,2278
2024.09.10,01:00:00,1.30624,1.30676,1.30623,1.30671,1869
2024.09.10,02:00:00,1.30672,1.30678,1.30612,1.30661,1474
2024.09.10,03:00:00,1.30662,1.30743,1.30662,1.30725,1177
2024.09.10,04:00:00,1.30724,1.30772,1.30714,1.30767,1080
2024.09.10,05:00:00,1.30765,1.30784,1.3073,1.30737,1375
2024.09.10,06:00:00,1.30737,1.31012,1.30737,1.31011,4695
2024.09.10,07:00:00,1.31011,1.31074,1.30891,1.30892,4767
2024.09.10,08:00:00,1.30894,1.30923,1.30799,1.3085,3679
2024.09.10,09:00:00,1.30852,1.31024,1.30783,1.30977,3374
2024.09.10,10:00:00,1.30978,1.31012,1.30906,1.30985,2867
2024.09.10,11:00:00,1.30987,1.31043,1.30851,1.30888,2733
2024.09.10,12:00:00,1.30888,1.30943,1.30683,1.30701,4729
2024.09.10,13:00:00,1.30698,1.30753,1.30528,1.30561,5496
2024.09.10,14:00:00,1.30559,1.30595,1.30492,1.3056,5574
2024.09.10,15:00:00,1.30562,1.30672,1.3053,1.30643,3706
2024.09.10,16:00:00,1.30644,1.30711,1.3056,1.3068,4150
2024.09.10,17:00:00,1.30679,1.30759,1.30656,1.30718,3000
2024.09.10,18:00:00,1.30717,1.30829,1.30699,1.30813,2980
2024.09.10,19:00:00,1.30813,1.30865,1.30792,1.30854,2776
2024.09.10,20:00:00,1.30853,1.3086,1.30786,1.30793,3265
2024.09.10,21:00:00,1.30779,1.3081,1.30742,1.30761,1842
2024.09.10,22:00:00,1.30761,1.30821,1.30758,1.30801,639
2024.09.10,23:00:00,1.30802,1.30844,1.30791,1.30795,619
2024.09.11,00:00:00,1.30794,1.30815,1.30712,1.30719,2420
2024.09.11,01:00:00,1.30721,1.30917,1.30699,1.30893,2972
2024.09.11,02:00:00,1.30894,1.30972,1.30876,1.30882,2941
2024.09.11,03:00:00,1.3088,1.30969,1.30843,1.3094,1408
2024.09.11,04:00:00,1.30939,1.31019,1.30925,1.31018,1685
2024.09.11,05:00:00,1.31017,1.31111,1.31003,1.31057,2312
2024.09.11,06:00:00,1.31055,1.31055,1.30807,1.30861,4379
2024.09.11,07:00:00,1.30863,1.3096,1.30771,1.30824,4557
2024.09.11,08:00:00,1.30825,1.30875,1.30773,1.30827,3346
2024.09.11,09:00:00,1.30828,1.30978,1.30828,1.30857,2044
2024.09.11,10:00:00,1.30865,1.30885,1.30745,1.30884,2249
2024.09.11,11:00:00,1.30884,1.30943,1.30857,1.30913,2355
2024.09.11,12:00:00,1.30912,1.3093,1.30466,1.30611,11931
2024.09.11,13:00:00,1.30611,1.30728,1.30324,1.30329,9086
2024.09.11,14:00:00,1.30327,1.30354,1.30016,1.30146,9025
2024.09.11,15:00:00,1.30145,1.30299,1.30137,1.30233,5930
2024.09.11,16:00:00,1.30232,1.30378,1.30202,1.30361,3375
2024.09.11,17:00:00,1.30364,1.30473,1.30352,1.30448,3346
