Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,1.35632,1.35658,1.35569,1.35649,2009
2024.09.09,01:00:00,1.35649,1.35651,1.35517,1.35538,2865
2024.09.09,02:00:00,1.35537,1.35576,1.35522,1.35558,1424
2024.09.09,03:00:00,1.35557,1.35577,1.35535,1.3556,1314
2024.09.09,04:00:00,1.35562,1.35615,1.35545,1.35612,838
2024.09.09,05:00:00,1.35613,1.35681,1.35611,1.35674,1061
2024.09.09,06:00:00,1.35674,1.3569,1.35616,1.35657,1855
2024.09.09,07:00:00,1.35654,1.35726,1.35626,1.35637,2848
2024.09.09,08:00:00,1.35637,1.35715,1.35619,1.35693,2986
2024.09.09,09:00:00,1.35693,1.357,1.35592,1.35632,2175
2024.09.09,10:00:00,1.35637,1.35702,1.35618,1.35657,2081
2024.09.09,11:00:00,1.35656,1.35658,1.35593,1.35605,2681
2024.09.09,12:00:00,1.35605,1.3569,1.35594,1.35681,3423
2024.09.09,13:00:00,1.35682,1.35766,1.35627,1.35712,3999
2024.09.09,14:00:00,1.35711,1.35736,1.3561,1.3563,5317
2024.09.09,15:00:00,1.3563,1.35717,1.35584,1.35601,4872
2024.09.09,16:00:00,1.35602,1.35608,1.35458,1.35488,3086
2024.09.09,17:00:00,1.35487,1.35584,1.35471,1.35582,3161
2024.09.09,18:00:00,1.35581,1.35609,1.35534,1.35593,3078
2024.09.09,19:00:00,1.35593,1.35642,1.35585,1.35628,2814
2024.09.09,20:00:00,1.35627,1.3564,1.35565,1.35576,2301
2024.09.09,21:00:00,1.35563,1.35568,1.35525,1.3554,182
2024.09.09,22:00:00,1.35543,1.35589,1.35543,1.35584,475
2024.09.09,23:00:00,1.35585,1.35647,1.35582,1.35637,529
2024.09.10,00:00:00,1.35637,1.35725,1.35626,1.35686,1786
2024.09.10,01:00:00,1.35686,1.35696,1.3562,1.35664,3075
2024.09.10,02:00:00,1.35664,1.35722,1.35648,1.35683,2533
2024.09.10,03:00:00,1.35681,1.35686,1.35641,1.35645,1111
2024.09.10,04:00:00,1.35645,1.35678,1.35634,1.35644,776
2024.09.10,05:00:00,1.35643,1.35665,1.35624,1.35653,1893
2024.09.10,06:00:00,1.35653,1.35668,1.35612,1.35633,1721
2024.09.10,07:00:00,1.35632,1.35703,1.3563,1.357,2734
2024.09.10,08:00:00,1.35699,1.35757,1.35685,1.35729,2697
2024.09.10,09:00:00,1.35728,1.35787,1.3564,1.35679,3080
2024.09.10,10:00:00,1.35678,1.35715,1.35648,1.35672,3001
2024.09.10,11:00:00,1.35672,1.35758,1.35644,1.3573,2770
2024.09.10,12:00:00,1.3573,1.3576,1.35693,1.3572,4052
2024.09.10,13:00:00,1.35719,1.35943,1.35685,1.35911,5013
2024.09.10,14:00:00,1.35914,1.3615,1.35914,1.36036,6813
2024.09.10,15:00:00,1.36036,1.36077,1.35945,1.36068,6074
2024.09.10,16:00:00,1.36067,1.36113,1.36022,1.36069,3762
2024.09.10,17:00:00,1.3607,1.36088,1.36037,1.36077,3446
2024.09.10,18:00:00,1.36076,1.36126,1.36035,1.36039,2709
2024.09.10,19:00:00,1.36038,1.36063,1.36,1.36011,2899
2024.09.10,20:00:00,1.36013,1.36099,1.3601,1.36097,2161
2024.09.10,21:00:00,1.36093,1.36095,1.36074,1.36085,357
2024.09.10,22:00:00,1.36087,1.36101,1.36084,1.36098,230
2024.09.10,23:00:00,1.36099,1.36113,1.36066,1.36098,532
2024.09.11,00:00:00,1.36098,1.3616,1.36091,1.36135,1750
2024.09.11,01:00:00,1.36136,1.36159,1.36011,1.36038,2922
2024.09.11,02:00:00,1.36036,1.36071,1.35993,1.36056,2305
2024.09.11,03:00:00,1.36058,1.36091,1.36017,1.36053,1859
2024.09.11,04:00:00,1.36052,1.36082,1.35993,1.36,1448
2024.09.11,05:00:00,1.36,1.36006,1.35947,1.35963,1647
2024.09.11,06:00:00,1.35969,1.3599,1.35915,1.35926,2704
2024.09.11,07:00:00,1.35925,1.35949,1.35877,1.35928,2653
2024.09.11,08:00:00,1.35928,1.35946,1.35844,1.35851,2518
2024.09.11,09:00:00,1.35855,1.359,1.35848,1.35869,2619
2024.09.11,10:00:00,1.3587,1.35873,1.35788,1.35793,1966
2024.09.11,11:00:00,1.35791,1.35822,1.35729,1.35757,2360
2024.09.11,12:00:00,1.35758,1.36033,1.35748,1.35959,9899
2024.09.11,13:00:00,1.35958,1.36102,1.35841,1.36096,8316
2024.09.11,14:00:00,1.36098,1.36225,1.36058,1.36101,8855
2024.09.11,15:00:00,1.361,1.36114,1.35913,1.35948,5805
2024.09.11,16:00:00,1.35949,1.35974,1.3579,1.35837,4412
2024.09.11,17:00:00,1.35837,1.35845,1.35666,1.35756,3810
2024.09.11,18:00:00,1.35759,1.35785,1.35678,1.35763,2931
2024.09.11,19:00:00,1.35764,1.35765,1.35669,1.35684,3313
2024.09.11,20:00:00,1.35684,1.35751,1.35663,1.35745,1951
2024.09.11,21:00:00,1.35724,1.35726,1.35685,1.35722,224
2024.09.11,22:00:00,1.35723,1.3575,1.35699,1.35746,458
2024.09.11,23:00:00,1.35744,1.3578,1.3573,1.3578,635
2024.09.12,00:00:00,1.3578,1.35802,1.35748,1.35792,1945
2024.09.12,01:00:00,1.35794,1.3585,1.3576,1.35797,2332
2024.09.12,02:00:00,1.35798,1.35842,1.35782,1.3582,1867
2024.09.12,03:00:00,1.3582,1.35823,1.35725,1.35727,1007
2024.09.12,04:00:00,1.35727,1.35735,1.35706,1.35706,1131
2024.09.12,05:00:00,1.35706,1.35722,1.35674,1.35675,1174
2024.09.12,06:00:00,1.35676,1.35707,1.35643,1.35706,1892
2024.09.12,07:00:00,1.35706,1.35748,1.35658,1.35747,2465
2024.09.12,08:00:00,1.35746,1.35802,1.35735,1.35771,3276
2024.09.12,09:00:00,1.35771,1.35773,1.35684,1.35706,2154
2024.09.12,10:00:00,1.35706,1.35747,1.35687,1.35727,1926
2024.09.12,11:00:00,1.35726,1.3584,1.35715,1.35838,3392
2024.09.12,12:00:00,1.35837,1.35893,1.35765,1.35856,7150
2024.09.12,13:00:00,1.35855,1.36,1.35789,1.35976,7221
2024.09.12,14:00:00,1.35976,1.36041,1.35908,1.35954,5650
2024.09.12,15:00:00,1.35956,1.35984,1.3588,1.35951,4579
2024.09.12,16:00:00,1.35951,1.35994,1.35899,1.3591,3706
2024.09.12,17:00:00,1.35909,1.3594,1.3584,1.35862,3552
2024.09.12,18:00:00,1.35863,1.35964,1.35841,1.35885,3913
2024.09.12,19:00:00,1.35885,1.35895,1.35768,1.35769,3487
2024.09.12,20:00:00,1.35769,1.35805,1.35757,1.35788,2405
