Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,0.84402,0.8446,0.84356,0.84443,2794
2024.09.09,01:00:00,0.84444,0.84569,0.84407,0.84543,3191
2024.09.09,02:00:00,0.84545,0.84555,0.84492,0.84528,2175
2024.09.09,03:00:00,0.84529,0.84573,0.84512,0.84536,1431
2024.09.09,04:00:00,0.84537,0.84632,0.84533,0.84612,1682
2024.09.09,05:00:00,0.84611,0.84628,0.84573,0.84607,1654
2024.09.09,06:00:00,0.84607,0.84637,0.84544,0.84605,3436
2024.09.09,07:00:00,0.84604,0.84751,0.84597,0.84633,3769
2024.09.09,08:00:00,0.84632,0.84849,0.84599,0.84825,2735
2024.09.09,09:00:00,0.84824,0.8484,0.8473,0.84751,1860
2024.09.09,10:00:00,0.84749,0.8489,0.84744,0.84884,1742
2024.09.09,11:00:00,0.84885,0.84936,0.84845,0.84914,1738
2024.09.09,12:00:00,0.84914,0.84942,0.84791,0.84883,2809
2024.09.09,13:00:00,0.84884,0.84896,0.84781,0.84811,3801
2024.09.09,14:00:00,0.84809,0.84873,0.84731,0.84739,4330
2024.09.09,15:00:00,0.84739,0.8481,0.84691,0.848,3516
2024.09.09,16:00:00,0.848,0.84832,0.84771,0.84822,2411
2024.09.09,17:00:00,0.84822,0.84836,0.84769,0.84824,1764
2024.09.09,18:00:00,0.84825,0.8484,0.84805,0.84822,1159
2024.09.09,19:00:00,0.84821,0.84904,0.84809,0.84903,1242
2024.09.09,20:00:00,0.84904,0.84937,0.84888,0.84925,1417
2024.09.09,21:00:00,0.84918,0.84932,0.84758,0.84921,556
2024.09.09,22:00:00,0.8492,0.84922,0.8488,0.84894,779
2024.09.09,23:00:00,0.84897,0.84953,0.84897,0.84947,537
2024.09.10,00:00:00,0.84945,0.84976,0.84906,0.84971,2319
2024.09.10,01:00:00,0.84972,0.84985,0.84934,0.84954,1634
2024.09.10,02:00:00,0.84953,0.84962,0.84909,0.8493,1411
2024.09.10,03:00:00,0.84929,0.84931,0.84875,0.84897,1001
2024.09.10,04:00:00,0.84896,0.84908,0.84834,0.84837,822
2024.09.10,05:00:00,0.84838,0.84858,0.84814,0.84837,1427
2024.09.10,06:00:00,0.84834,0.84894,0.84785,0.84848,2178
2024.09.10,07:00:00,0.84849,0.84899,0.84816,0.84866,2598
2024.09.10,08:00:00,0.84867,0.84889,0.84806,0.84807,2140
2024.09.10,09:00:00,0.84808,0.84838,0.84731,0.84757,2043
2024.09.10,10:00:00,0.84758,0.84811,0.84733,0.84753,1602
2024.09.10,11:00:00,0.84753,0.84785,0.84716,0.84762,1936
2024.09.10,12:00:00,0.8476,0.84783,0.84584,0.84657,3171
2024.09.10,13:00:00,0.84658,0.84817,0.84599,0.84796,4094
2024.09.10,14:00:00,0.84794,0.84824,0.84654,0.84763,5749
2024.09.10,15:00:00,0.84765,0.84775,0.84583,0.84592,3324
2024.09.10,16:00:00,0.84592,0.84681,0.84559,0.84678,2864
2024.09.10,17:00:00,0.84676,0.84715,0.84627,0.84663,2463
2024.09.10,18:00:00,0.84666,0.84685,0.84633,0.84664,1749
2024.09.10,19:00:00,0.84665,0.8469,0.84647,0.84662,1421
2024.09.10,20:00:00,0.84662,0.84696,0.8465,0.84685,1060
2024.09.10,21:00:00,0.84674,0.84711,0.84652,0.84685,783
2024.09.10,22:00:00,0.84685,0.84702,0.84667,0.84698,871
2024.09.10,23:00:00,0.84698,0.84705,0.84655,0.84663,1113
2024.09.11,00:00:00,0.84664,0.8469,0.84616,0.8465,1851
2024.09.11,01:00:00,0.84651,0.84694,0.8443,0.84489,3969
2024.09.11,02:00:00,0.84489,0.84525,0.84414,0.84505,2792
2024.09.11,03:00:00,0.84504,0.84538,0.84406,0.84434,2553
2024.09.11,04:00:00,0.84431,0.84439,0.84283,0.84307,2620
2024.09.11,05:00:00,0.84307,0.84357,0.84216,0.84355,2980
2024.09.11,06:00:00,0.84354,0.84447,0.8433,0.84402,2664
2024.09.11,07:00:00,0.84402,0.84581,0.84402,0.84563,3485
2024.09.11,08:00:00,0.84564,0.84597,0.84487,0.84554,2614
2024.09.11,09:00:00,0.84554,0.84607,0.84527,0.84604,1674
2024.09.11,10:00:00,0.84605,0.84663,0.84591,0.84627,1582
2024.09.11,11:00:00,0.84629,0.8465,0.8457,0.84637,2161
2024.09.11,12:00:00,0.84637,0.85122,0.84625,0.85028,10295
2024.09.11,13:00:00,0.8503,0.85154,0.84869,0.84903,8572
2024.09.11,14:00:00,0.84904,0.84961,0.84738,0.84849,8950
2024.09.11,15:00:00,0.84846,0.85052,0.84805,0.85051,5532
2024.09.11,16:00:00,0.85051,0.85101,0.85001,0.85009,3935
2024.09.11,17:00:00,0.85008,0.85124,0.85001,0.85074,3281
2024.09.11,18:00:00,0.85073,0.85144,0.85029,0.85128,1957
2024.09.11,19:00:00,0.85129,0.85257,0.85099,0.85227,1827
2024.09.11,20:00:00,0.85226,0.85292,0.85209,0.85215,2264
2024.09.11,21:00:00,0.85214,0.85225,0.85127,0.85207,651
2024.09.11,22:00:00,0.85207,0.85234,0.85183,0.85228,806
2024.09.11,23:00:00,0.85227,0.85292,0.85223,0.85268,994
2024.09.12,00:00:00,0.85269,0.85328,0.85262,0.85269,2033
2024.09.12,01:00:00,0.85268,0.85284,0.85176,0.85189,2838
2024.09.12,02:00:00,0.85186,0.85267,0.85178,0.85258,1411
2024.09.12,03:00:00,0.85255,0.85302,0.85228,0.85294,839
2024.09.12,04:00:00,0.85296,0.85331,0.8529,0.85319,757
2024.09.12,05:00:00,0.85317,0.85347,0.85244,0.85267,1372
2024.09.12,06:00:00,0.85268,0.85299,0.85187,0.85295,2280
2024.09.12,07:00:00,0.85296,0.85447,0.85296,0.85447,3560
2024.09.12,08:00:00,0.85446,0.85485,0.85413,0.85427,2832
2024.09.12,09:00:00,0.85426,0.85489,0.85394,0.85472,1795
2024.09.12,10:00:00,0.85472,0.85493,0.85376,0.85391,1258
2024.09.12,11:00:00,0.85392,0.85408,0.85292,0.85405,1839
2024.09.12,12:00:00,0.85406,0.85481,0.8518,0.85285,8193
2024.09.12,13:00:00,0.85282,0.85482,0.85223,0.85327,7647
2024.09.12,14:00:00,0.8533,0.85474,0.85329,0.85372,4921
2024.09.12,15:00:00,0.85371,0.8542,0.85235,0.85271,4264
2024.09.12,16:00:00,0.8527,0.85385,0.85261,0.85316,2871
2024.09.12,17:00:00,0.85314,0.85335,0.8521,0.8523,3684
2024.09.12,18:00:00,0.8523,0.85278,0.85174,0.85196,3144
2024.09.12,19:00:00,0.85196,0.85204,0.85067,0.85118,3364
2024.09.12,20:00:00,0.85118,0.8514,0.85061,0.85102,3372
2024.09.12,21:00:00,0.85101,0.85136,0.85048,0.85089,521
2024.09.12,22:00:00,0.8509,0.85128,0.85065,0.8511,856
2024.09.12,23:00:00,0.85107,0.85114,0.84972,0.84983,1292
2024.09.13,00:00:00,0.84983,0.84997,0.84889,0.84952,2613
2024.09.13,01:00:00,0.84952,0.84986,0.849,0.84959,3824
2024.09.13,02:00:00,0.84959,0.84989,0.84854,0.84917,2878
2024.09.13,03:00:00,0.84918,0.84949,0.84876,0.84919,1872
2024.09.13,04:00:00,0.84918,0.84965,0.84872,0.8496,1427
2024.09.13,05:00:00,0.84959,0.84995,0.84914,0.84936,1948
2024.09.13,06:00:00,0.84936,0.85005,0.84893,0.84895,2931
2024.09.13,07:00:00,0.84896,0.84985,0.84775,0.84824,3594
2024.09.13,08:00:00,0.84824,0.84895,0.84741,0.84823,3501
2024.09.13,09:00:00,0.84822,0.84875,0.84744,0.84775,2818
2024.09.13,10:00:00,0.84777,0.84859,0.84715,0.84827,2358
2024.09.13,11:00:00,0.84825,0.84825,0.84653,0.84716,2854
2024.09.13,12:00:00,0.84716,0.84763,0.84562,0.84564,3844
2024.09.13,13:00:00,0.84564,0.84639,0.84434,0.84556,5763
2024.09.13,14:00:00,0.84557,0.84807,0.84535,0.84768,6428
2024.09.13,15:00:00,0.84767,0.84819,0.84741,0.84791,2876
2024.09.13,16:00:00,0.84791,0.84846,0.84752,0.84791,2885
2024.09.13,17:00:00,0.84789,0.84848,0.84788,0.84821,1875
2024.09.13,18:00:00,0.84822,0.84835,0.84777,0.84811,1409
