Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,142.487,142.741,142.414,142.697,12288
2024.09.09,01:00:00,142.699,142.98,142.613,142.955,10149
2024.09.09,02:00:00,142.956,142.989,142.7,142.817,6660
2024.09.09,03:00:00,142.818,142.957,142.637,142.757,7635
2024.09.09,04:00:00,142.758,143.091,142.739,142.973,7721
2024.09.09,05:00:00,142.972,143.069,142.773,142.911,9096
2024.09.09,06:00:00,142.912,143.055,142.795,143.002,13060
2024.09.09,07:00:00,143.005,143.358,143.005,143.158,12674
2024.09.09,08:00:00,143.159,143.431,143.096,143.38,8301
2024.09.09,09:00:00,143.38,143.574,143.264,143.486,8726
2024.09.09,10:00:00,143.486,143.777,143.473,143.668,8053
2024.09.09,11:00:00,143.668,143.795,143.537,143.609,7639
2024.09.09,12:00:00,143.603,143.696,143.093,143.231,8836
2024.09.09,13:00:00,143.232,143.232,142.726,142.793,13767
2024.09.09,14:00:00,142.792,142.99,142.65,142.737,12855
2024.09.09,15:00:00,142.736,143.009,142.715,142.925,10066
2024.09.09,16:00:00,142.925,142.952,142.824,142.883,6279
2024.09.09,17:00:00,142.88,142.917,142.715,142.814,6938
2024.09.09,18:00:00,142.814,142.895,142.761,142.807,5111
2024.09.09,19:00:00,142.807,142.961,142.779,142.955,4710
2024.09.09,20:00:00,142.953,143.21,142.948,143.153,4109
2024.09.09,21:00:00,143.147,143.147,143.078,143.124,297
2024.09.09,22:00:00,143.122,143.137,142.852,143.039,2701
2024.09.09,23:00:00,143.039,143.295,143.039,143.181,4279
2024.09.10,00:00:00,143.18,143.487,143.113,143.465,10980
2024.09.10,01:00:00,143.466,143.543,143.353,143.422,6833
2024.09.10,02:00:00,143.417,143.431,143.189,143.401,5943
2024.09.10,03:00:00,143.4,143.426,143.173,143.235,5541
2024.09.10,04:00:00,143.237,143.28,143.052,143.08,3651
2024.09.10,05:00:00,143.08,143.186,143.031,143.155,4861
2024.09.10,06:00:00,143.154,143.453,143.092,143.399,7478
2024.09.10,07:00:00,143.397,143.614,143.337,143.602,10376
2024.09.10,08:00:00,143.61,143.708,143.439,143.51,9949
2024.09.10,09:00:00,143.512,143.519,143.153,143.161,7277
2024.09.10,10:00:00,143.163,143.212,142.948,143.039,7445
2024.09.10,11:00:00,143.04,143.188,142.994,143.126,8998
2024.09.10,12:00:00,143.124,143.189,142.753,142.861,9469
